fecha_dato,AC,C_C,NM,CV
2013-09-09 18:00:00,3.7,IN,8,CC85-92
2013-09-02 16:00:00,2.39,IN,22,CC85-92
2013-09-09 15:00:00,9.65,IN,12,CC85-92
2013-01-17 22:00:00,8.64,IN,7,CC85-92
2013-01-20 16:00:00,2.06,IN,7,CC85-92
2013-01-21 20:00:00,9.86,IN,10,CC85-92
2013-01-29 11:00:00,2.71,IN,10,CC85-92
2013-01-30 17:00:00,0.9,IN,4,CC85-92
2013-01-27 15:00:00,3.16,IN,17,CC85-92
2013-01-26 20:00:00,9.69,IN,4,CC85-92
2013-01-24 20:00:00,0.5,IN,25,CC85-92
2013-01-21 18:00:00,11.95,IN,9,CC85-92
2013-01-14 20:00:00,0.77,IN,4,CC85-92
2013-01-13 17:00:00,7.3,IN,26,CC85-92
2013-01-13 17:00:00,28.62,IN,26,CC85-92
2013-01-10 20:00:00,3.04,IN,12,CC85-92
2013-01-10 20:00:00,1.09,IN,12,CC85-92
2013-01-10 18:00:00,8.6,IN,11,CC85-92
2013-01-08 22:00:00,0.04,IN,12,CC85-92
2013-01-08 18:00:00,4.66,IN,12,CC85-92
2013-01-07 17:00:00,11.13,IN,1,CC85-92
2013-01-06 22:00:00,1.4,IN,9,CC85-92
2013-01-06 18:00:00,0.6,IN,12,CC85-92
2013-01-06 18:00:00,14.47,IN,12,CC85-92
2013-01-06 17:00:00,0.62,IN,9,CC85-92
2013-01-03 22:00:00,3.4,IN,4,CC85-92
2013-01-19 18:00:00,0.3,IN,9,CC85-92
2013-01-29 21:00:00,22,IN,17,V71-51
2013-01-04 20:00:00,24.45,IN,9,V71-51
2013-01-02 18:00:00,6.34,IN,12,CC84-75
2013-01-02 21:00:00,7.69,IN,12,CC44-81
2013-01-07 16:00:00,2.57,IN,12,CC85-92
2013-01-08 16:00:00,7.38,IN,21,CC85-92
2013-01-08 16:00:00,9.11,IN,21,CC85-92
2013-01-11 15:00:00,17.67,IN,9,CC44-81
2013-01-11 18:00:00,17.71,IN,5,CC85-92
2013-01-12 15:00:00,4.67,IN,25,CC85-92
2013-01-12 15:00:00,2.91,IN,25,CC85-92
2013-01-13 15:00:00,1.39,IN,25,CC85-92
2013-01-14 16:00:00,3,IN,9,CC85-92
2013-01-14 16:00:00,3,IN,9,CC85-92
2013-01-27 13:00:00,20.58,IN,9,CC85-92
2013-01-27 13:00:00,2,IN,9,CC85-92
2013-01-29 13:00:00,5.89,IN,21,CC85-92
2013-01-29 21:00:00,2.5,IN,5,CC85-92
2013-01-30 20:00:00,7.67,IN,4,CC85-92
2013-01-14 15:00:00,1.71,IN,7,CC85-92
2013-01-16 14:00:00,4.28,IN,17,CC85-92
2013-01-16 14:00:00,10.82,IN,17,CC85-92
2013-01-29 22:00:00,2.62,IN,13,CC85-92
2013-01-29 22:00:00,1.5,IN,13,CC85-92
2013-01-20 14:00:00,1.28,IN,13,CC85-92
2013-01-04 18:00:00,3.04,IN,6,CC85-92
2013-01-07 16:00:00,1,IN,6,CC85-92
2013-01-08 23:00:00,1,IN,7,CC85-92
2013-01-09 18:00:00,1,IN,10,CC85-92
2013-01-09 19:00:00,2.39,IN,6,CC85-92
2013-01-21 22:00:00,3.49,IN,7,CC85-92
2013-01-19 12:00:00,11,IN,12,CC 8592
2013-01-20 16:00:00,2.5,IN,25,CC 8592
2013-01-03 20:00:00,7.13,IN,22,CC85-92
2013-01-02 02:00:00,0.8,IN,23,CC85-92
2013-01-04 20:00:00,2.7,IN,23,CC85-92
2013-01-03 22:00:00,2.4,IN,4,CC85-92
2013-01-03 19:00:00,0.12,IN,23,CC85-92
2013-01-01 22:00:00,2.3,IN,21,CC85-92
2013-01-08 17:00:00,5.32,IN,23,CC85-92
2013-01-23 20:00:00,1,IN,23,CC85-92
2013-01-10 12:00:00,2.8,IN,23,CC85-92
2013-01-11 04:00:00,3.31,IN,23,CC85-92
2013-01-14 18:00:00,5.34,IN,23,CC85-92
2013-01-28 18:00:00,3,IN,17,CC93-4418
2013-01-23 17:00:00,0.7,IN,9,CC85-92
2013-01-21 15:00:00,2.4,IN,17,PR61-632
2013-01-26 17:00:00,0.4,IN,9,CC85-92
2013-01-19 15:00:00,5.39,IN,17,CC85-92
2013-01-29 22:00:00,0.1,IN,17,CC85-92
2013-01-19 15:00:00,4.25,IN,17,CC93-3895
2013-01-19 15:00:00,6.43,IN,17,CC85-92
2013-01-31 05:00:00,2.5,IN,17,CC85-92
2013-01-24 15:00:00,1.94,IN,17,CC85-92
2013-01-29 15:00:00,2.27,IN,17,CC 01-1228
2013-01-29 17:00:00,1.5,IN,17,CC85-92
2013-01-24 21:00:00,5,IN,17,CC85-92
2013-01-19 20:00:00,15.77,IN,17,CC85-92
2013-01-17 18:00:00,0.7,IN,17,CC84-75
2013-01-17 18:00:00,1,IN,17,CC84-75
2013-01-27 13:00:00,0.3,IN,7,CC85-92
2013-01-09 23:00:00,3.07,IN,17,CC85-92
2013-01-11 17:00:00,17.67,IN,17,CC85-92
2013-01-13 13:00:00,5,IN,17,CC85-92
2013-01-13 16:00:00,0.1,IN,17,CC85-92
2013-01-13 16:00:00,0.4,IN,17,CC85-92
2013-01-13 22:00:00,0.5,IN,17,CC85-92
2013-01-23 11:00:00,0.5,IN,17,CC85-92
2013-01-27 23:00:00,0.5,IN,17,CC85-92
2013-01-11 22:00:00,0.7,IN,17,CC 8592
2013-01-12 22:00:00,0.07,IN,17,CC 8592
2013-01-28 15:00:00,3.5,IN,7,CC 8592
2013-01-29 20:00:00,3.6,IN,13,CC 8592
2013-01-29 20:00:00,1.34,IN,13,CC 8592
2013-01-29 14:00:00,5.6,IN,18,CC 8592
2013-01-30 22:00:00,2.2,IN,7,CC 8592
2013-01-30 21:00:00,3,IN,13,CC 8592
2013-01-30 20:00:00,0.06,IN,13,CC 8592
2013-01-30 20:00:00,0.04,IN,13,CC 8592
2013-01-30 20:00:00,0.9,IN,17,CC 8592
2013-01-30 19:00:00,0.15,IN,17,CC 8592
2013-01-31 21:00:00,4,IN,13,CC 8592
2013-01-31 20:00:00,0.04,IN,13,CC 8592
2013-01-31 20:00:00,0.04,IN,13,CC 8592
2013-01-15 11:00:00,2.39,IN,10,CC934418
2013-01-31 20:00:00,0.9,IN,17,CC 8592
2013-02-14 19:00:00,10.62,IN,17,CC85-92
2013-02-25 22:00:00,1,IN,17,CC84-75
2013-02-25 13:00:00,18.46,IN,23,CC85-92
2013-02-22 14:00:00,1.5,IN,1,CC85-92
2013-02-10 19:00:00,9.91,IN,1,CC85-92
2013-02-08 20:00:00,2.5,IN,12,CC85-92
2013-02-01 20:00:00,3.15,IN,12,CC85-92
2013-02-14 20:00:00,0.6,IN,12,CC93-4418
2013-02-08 20:00:00,0.21,IN,9,CC85-92
