fecha_dato,CC,NM,AC,CV
2013/09/07 17:00:00,QC,8,3.04,CC85-92
2013/09/07 18:00:00,QC,8,3.6,CC85-92
2013/09/04 15:00:00,QC,16,2.3,CC85-92
2013/09/04 14:00:00,QC,16,1.5,CC85-92
2013/09/02 15:00:00,QC,16,5.6,CC85-92
2013/09/02 16:00:00,QC,16,1.48,CC85-92
2013/09/03 17:00:00,QC,16,1.33,CC85-92
2013/09/03 15:00:00,QC,16,4.5,CC85-92
2013/09/03 14:00:00,QC,16,3.36,CC85-92
2013/09/03 16:00:00,QC,16,4.5,CC85-92
2013/09/04 16:00:00,QC,16,2.24,CC85-92
2013/09/04 16:00:00,QC,16,3,CC85-92
2013/09/02 17:00:00,QC,16,5.27,CC85-92
2013/09/24 21:00:00,QC,2,2.54,CC85-92
2013/09/23 16:00:00,QC,16,3.83,CC85-92
2013/09/23 17:00:00,QC,16,4.23,CC85-92
2013/09/23 17:00:00,QC,16,3.95,CC85-92
2013/09/22 16:00:00,QC,16,4.4,CC85-92
2013/09/22 16:00:00,QC,16,4.36,CC85-92
2013/09/22 15:00:00,QC,16,4.92,CC85-92
2013/09/22 14:00:00,QC,16,3.96,CC85-92
2013/09/20 13:00:00,QC,16,5.25,CC 01-1940
2013/09/20 13:00:00,QC,16,4.71,CC 01-1940
2013/09/20 15:00:00,QC,16,3.86,CC 01-1940
2013/09/19 20:00:00,QC,16,2.6,CC85-92
2013/09/19 21:00:00,QC,16,2.66,CC85-92
2013/09/19 21:00:00,QC,16,3.19,CC85-92
2013/09/24 19:00:00,QC,16,1.07,CC85-92
2013/09/24 20:00:00,QC,16,1.31,CC85-92
2013/09/24 20:00:00,QC,16,1.64,CC85-92
2013/09/07 19:00:00,QC,2,1.31,CC85-92
2013/09/29 12:00:00,QC,8,4.61,CC 01-1940
2013/09/27 18:00:00,QC,8,4.51,CC 01-1940
2013/09/28 16:00:00,QC,8,3.8,CC 01-1940
2013/09/28 15:00:00,QC,8,3.14,CC 01-1940
2013/09/27 17:00:00,QC,8,3.47,CC 01-1940
2013/09/27 18:00:00,QC,8,3,CC 01-1940
2013/09/26 15:00:00,QC,8,4.42,CC 01-1940
2013/09/25 14:00:00,QC,8,4.67,CC 01-1940
2013/09/26 13:00:00,QC,8,4.42,CC 01-1940
2013/09/24 21:00:00,QC,8,3.36,CC 01-1940
2013/09/24 21:00:00,QC,8,3.8,CC 01-1940
2013/09/24 22:00:00,QC,8,3.7,CC 01-1940
2013/09/22 18:00:00,QC,8,3.46,CC 01-1940
2013/09/22 19:00:00,QC,8,3.6,CC 01-1940
2013/09/11 18:00:00,QC,8,4,CC85-92
2013/09/11 20:00:00,QC,8,3.7,CC85-92
2013/09/11 19:00:00,QC,8,3.7,CC85-92
2013/09/14 12:00:00,QC,8,3.16,CC85-92
2013/09/14 13:00:00,QC,8,1.54,CC85-92
2013/09/11 16:00:00,QC,8,1.93,CC85-92
2013/09/11 15:00:00,QC,8,3.25,CC85-92
2013/09/07 16:00:00,QC,8,3.62,CC85-92
2013/09/13 15:00:00,QC,8,5.34,CC85-92
2013/09/11 18:00:00,QC,8,1.54,CC85-92
2013/09/11 16:00:00,QC,8,2.9,CC85-92
2013/09/11 17:00:00,QC,8,5.45,CC85-92
2013/09/10 18:00:00,QC,8,2.13,CC85-92
2013/09/10 18:00:00,QC,8,3.27,CC85-92
2013/09/10 17:00:00,QC,8,3.18,CC85-92
2013/09/10 17:00:00,QC,8,2.24,CC85-92
2013/09/10 16:00:00,QC,8,1.58,CC85-92
2013/09/07 16:00:00,QC,8,4.3,CC85-92
2013/09/13 16:00:00,QC,8,1.27,CC85-92
2013/09/13 18:00:00,QC,8,1.27,CC85-92
2013/09/13 19:00:00,QC,8,1.44,CC85-92
2013/09/13 19:00:00,QC,8,1.76,CC85-92
2013/09/02 21:00:00,QC,17,2.74,CC-8592 
2013/09/02 19:00:00,QC,17,2.76,CC-8592 
2013/09/02 21:00:00,QC,7,4.01,CC-8592 
2013/09/02 22:00:00,QC,7,4,CC-8592 
2013/09/03 20:00:00,QC,17,5.61,CC-8592 
2013/09/03 21:00:00,QC,7,5,CC-8592 
2013/09/03 22:00:00,QC,7,5,CC-8592 
2013/09/03 23:00:00,QC,7,3.39,CC-8592 
2013/09/03 19:00:00,QC,17,5.37,CC-8592 
2013/09/04 17:00:00,QC,7,5,CC-934418
2013/09/04 17:00:00,QC,7,5,CC-934418
2013/09/04 17:00:00,QC,7,5,CC-934418
2013/09/04 18:00:00,QC,7,4.09,CC-934418
2013/09/05 19:00:00,QC,17,5,CC-8592 
2013/09/05 20:00:00,QC,17,5,CC-8592 
2013/09/05 20:00:00,QC,17,4.9,CC-8592 
2013/09/05 19:00:00,QC,18,5,CC-8592 
2013/09/05 20:00:00,QC,18,4.98,CC-8592 
2013/09/05 23:00:00,QC,7,0.68,CC-934181 Cenic
2013/09/06 17:00:00,QC,17,5,CC-8592 
2013/09/06 18:00:00,QC,17,5,CC-8592 
2013/09/01 11:00:00,QC,25,6,CC85-92
2013/09/01 16:00:00,QC,4,6,CC85-92
2013/09/02 14:00:00,QC,25,6,CC85-92
2013/09/02 13:00:00,QC,25,4.81,CC85-92
2013/09/02 16:00:00,QC,4,4.34,CC85-92
2013/09/03 11:00:00,QC,4,3.25,CC85-92
2013/09/03 11:00:00,QC,4,1.89,CC85-92
2013/09/03 14:00:00,QC,4,4.12,CC85-92
2013/09/04 12:00:00,QC,4,6,CC84-75
2013/09/04 16:00:00,QC,4,3.14,CC85-92
2013/09/05 10:00:00,QC,4,6,CC84-75
2013/09/05 13:00:00,QC,4,4.05,CC85-92
2013/09/05 16:00:00,QC,4,4.25,CC85-92
2013/09/05 17:00:00,QC,4,4.25,CC85-92
2013/09/05 18:00:00,QC,4,4.25,CC85-92
2013/09/06 11:00:00,QC,4,4.1,CC85-92
2013/09/06 13:00:00,QC,4,4.1,CC85-92
2013/09/06 13:00:00,QC,4,4.1,CC85-92
2013/09/06 15:00:00,QC,21,4.57,CC85-92
2013/09/06 16:00:00,QC,21,4.57,CC85-92
2013/09/07 12:00:00,QC,21,5.03,CC85-92
2013/09/08 11:00:00,QC,4,1.81,CC85-92
2013/09/08 11:00:00,QC,4,6,CC85-92
2013/09/08 14:00:00,QC,21,5.01,CC44-81
2013/09/08 18:00:00,QC,12,5.34,CC84-75
2013/09/09 14:00:00,QC,21,5.54,CC44-81
2013/09/09 15:00:00,QC,21,5.54,CC44-81
2013/09/10 15:00:00,QC,12,5.52,CC85-92
2013/09/10 16:00:00,QC,12,4.62,CC84-75
2013/09/10 18:00:00,QC,12,4.62,CC84-75
2013/09/10 18:00:00,QC,12,1.42,CC84-75
2013/09/10 20:00:00,QC,9,4.48,CC84-75
2013/09/10 23:00:00,QC,9,4.17,CC84-75
2013/09/14 00:00:00,QC,7,3.65,CC-934418
2013/09/14 16:00:00,QC,13,5.79,CC-8592 
2013/09/15 18:00:00,QC,7,5.75,CC-8592 
2013/09/15 18:00:00,QC,7,5,CC-8592 
2013/09/15 18:00:00,QC,7,5.2,CC-8592 
2013/09/15 17:00:00,QC,7,0.85,CC-934418
2013/09/15 16:00:00,QC,13,5,CC-8592 
2013/09/15 16:00:00,QC,13,4.64,CC-8592 
2013/09/15 19:00:00,QC,7,5.67,CC-8592 
2013/09/16 19:00:00,QC,13,4.99,CC-8592 
2013/09/16 18:00:00,QC,13,6,CC-8592 
2013/09/16 19:00:00,QC,13,5.98,CC-8592 
2013/09/16 20:00:00,QC,7,5,CC-8592 
2013/09/16 23:00:00,QC,7,4.53,CC-8592 
2013/09/17 16:00:00,QC,13,5.14,CC-8592 
2013/09/17 16:00:00,QC,13,5,CC-8592 
2013/09/17 17:00:00,QC,13,2.56,CC-8592 
2013/09/17 15:00:00,QC,7,5.04,CC-8592 
2013/09/17 15:00:00,QC,7,4.91,CC-8592 
2013/09/18 18:00:00,QC,10,6,CC-8592 
2013/09/18 20:00:00,QC,10,6,CC-8592 
2013/09/18 20:00:00,QC,10,0.65,CC-8592 
2013/09/18 15:00:00,QC,13,0.96,CC-934418
2013/09/18 18:00:00,QC,7,3.94,CC-8592 
2013/09/18 19:00:00,QC,7,5.02,CC-8592 
2013/09/18 19:00:00,QC,7,4.98,CC-8592 
2013/09/19 22:00:00,QC,10,5.98,CC-8592 
2013/09/19 18:00:00,QC,18,5,CC-8592 
2013/09/19 19:00:00,QC,18,2,CC-8592 
2013/09/19 16:00:00,QC,13,5.14,CC-8592 
2013/09/19 15:00:00,QC,13,6,CC-8592 
2013/09/19 18:00:00,QC,13,0.37,CC-8592 
2013/09/20 22:00:00,QC,10,5.95,CC-8592 
2013/09/20 15:00:00,QC,13,0.13,CC-934418
2013/09/20 17:00:00,QC,13,6,CC-934418
2013/09/20 18:00:00,QC,7,2.57,CC-8475 Cenican
2013/09/20 18:00:00,QC,7,1.13,CC-8592 
2013/09/21 21:00:00,QC,10,6,CC-8592 
2013/09/21 22:00:00,QC,10,5,CC-8592 
2013/09/21 18:00:00,QC,13,4.42,CC-934418
2013/09/22 11:00:00,QC,10,1.08,CC-8592 
2013/09/22 12:00:00,QC,10,1.1,CC-8592 
2013/09/22 18:00:00,QC,13,6,CC-8592 
2013/09/22 18:00:00,QC,13,6,CC-8592 
2013/09/22 19:00:00,QC,13,4.7,CC-8592 
2013/09/23 19:00:00,QC,7,5,CC-8592 
2013/09/23 18:00:00,QC,7,4.97,CC-8592 
2013/09/23 18:00:00,QC,13,4,CC-8592 
2013/09/23 19:00:00,QC,13,2.83,CC-8592 
2013/09/23 19:00:00,QC,13,2.37,CC-8592 
2013/09/23 20:00:00,QC,7,1.48,CC-8592 
2013/01/13 18:00:00,QC,7,4.2,CC85-92
