,fecha_dato,CC,NM,AC,CV
0,2013/01/01 12:00:00,QC,21,1.94,CC85-92
1,2013/01/01 13:00:00,QC,21,6.96,CC85-92
2,2013/01/01 16:00:00,QC,23,3.93,CC85-92
3,2013/01/01 17:00:00,QC,17,4.6,CC-934418
4,2013/01/01 18:00:00,QC,17,7.52,CC-934418
5,2013/01/01 20:00:00,QC,7,0.63,CC-8592 
6,2013/01/01 21:00:00,QC,7,10.78,Variedades
7,2013/01/01 22:00:00,QC,7,7.5,CC-934181 Cenic
8,2013/01/02 13:00:00,QC,23,2.85,V71-51
9,2013/01/02 14:00:00,QC,21,8.74,CC85-92
10,2013/01/02 15:00:00,QC,21,20,CC85-92
11,2013/01/02 16:00:00,QC,21,5.21,CC85-92
12,2013/01/02 17:00:00,QC,21,4.57,CC85-92
13,2013/01/02 18:00:00,QC,15,8.9,CC85-92
14,2013/01/02 19:00:00,QC,12,13.76,CC85-92
15,2013/01/02 20:00:00,QC,7,5,CC-8592 
16,2013/01/02 21:00:00,QC,17,2.59,CC-934418
17,2013/01/02 22:00:00,QC,17,2.62,CC-934418
18,2013/01/03 14:00:00,QC,12,5.93,CC85-92
19,2013/01/03 15:00:00,QC,12,11.86,CC85-92
20,2013/01/03 16:00:00,QC,12,10.31,CC85-92
21,2013/01/03 17:00:00,QC,23,12.66,VARIAS
22,2013/01/03 18:00:00,QC,23,7.13,VARIAS
23,2013/01/03 19:00:00,QC,7,6,CC-8592 
24,2013/01/03 20:00:00,QC,17,8.77,CC-934181 Cenic
25,2013/01/03 22:00:00,QC,17,5,CC-8592 
26,2013/01/03 23:00:00,QC,17,9.5,CC-8592 
27,2013/01/04 11:00:00,QC,23,7.48,CC85-92
28,2013/01/04 12:00:00,QC,12,4.15,CC85-92
29,2013/01/04 13:00:00,QC,12,4.15,CC85-92
30,2013/01/04 14:00:00,QC,23,13.17,V71-51
31,2013/01/04 15:00:00,QC,23,8.73,V71-51
32,2013/01/04 16:00:00,QC,21,4.54,CC85-92
33,2013/01/04 17:00:00,QC,21,5.92,CC85-92
34,2013/01/04 18:00:00,QC,14,13.3,CC85-92
35,2013/01/04 19:00:00,QC,17,17.92,CC85-92
36,2013/01/04 20:00:00,QC,7,3.22,CC-8592 
37,2013/01/04 21:00:00,QC,17,1.77,CC-8592 
38,2013/01/04 22:00:00,QC,17,5,CC-934181 Cenic
39,2013/01/04 23:00:00,QC,17,4.49,CC-934181 Cenic
40,2013/01/05 11:00:00,QC,23,3,CC85-92
41,2013/01/05 13:00:00,QC,21,10.59,CC85-92
42,2013/01/05 14:00:00,QC,22,4.37,CC85-92
43,2013/01/05 16:00:00,QC,13,20.5,CC 8592
44,2013/01/05 17:00:00,QC,13,14,CC 8592
45,2013/01/05 18:00:00,QC,7,6,CC-8592 
46,2013/01/05 19:00:00,QC,7,5.99,CC-8592 
47,2013/01/05 20:00:00,QC,17,5.5,CC-9872
48,2013/01/05 23:00:00,QC,7,11.72,CC-934418
49,2013/01/06 11:00:00,QC,23,8.65,CC85-92
50,2013/01/06 12:00:00,QC,23,11.32,CC85-92
51,2013/01/06 13:00:00,QC,12,11.18,CC85-92
52,2013/01/06 14:00:00,QC,21,18.13,CC85-92
53,2013/01/06 15:00:00,QC,21,21.29,CC85-92
54,2013/01/06 16:00:00,QC,13,5,CC 8592
55,2013/01/06 17:00:00,QC,17,5,CC-03154 Cenica
56,2013/01/06 18:00:00,QC,22,16.56,CC85-92
57,2013/01/06 19:00:00,QC,22,3.76,CC85-92
58,2013/01/06 20:00:00,QC,2,5.25,CC85-92
59,2013/01/06 21:00:00,QC,7,9.76,CC85-92
60,2013/01/06 22:00:00,QC,7,12.15,CC-8592 
61,2013/01/06 23:00:00,QC,7,8.63,CC-8592 
62,2013/01/07 00:00:00,QC,13,3,CC 8592
63,2013/01/07 01:00:00,QC,18,12.42,CC 8475
64,2013/01/07 11:00:00,QC,4,4.85,CC85-92
65,2013/01/07 12:00:00,QC,4,9.05,CC85-92
66,2013/01/07 13:00:00,QC,4,4.2,CC85-92
67,2013/01/07 14:00:00,QC,14,14.31,CC85-92
68,2013/01/07 15:00:00,QC,11,15.65,CC85-92
69,2013/01/07 16:00:00,QC,9,3.5,CC85-92
70,2013/01/07 17:00:00,QC,14,13.35,CC85-92
71,2013/01/07 18:00:00,QC,17,16.54,VARIAS
72,2013/01/07 19:00:00,QC,17,25.31,CC-9872
73,2013/01/07 20:00:00,QC,7,13,CC-8592 
74,2013/01/07 21:00:00,QC,7,17.34,CC-8592 
75,2013/01/07 22:00:00,QC,5,11.46,CC85-92
76,2013/01/07 23:00:00,QC,13,30.77,CC85-92
77,2013/01/08 01:00:00,QC,18,1.06,CC 8592
78,2013/01/08 15:00:00,QC,13,16,CC 8592
79,2013/01/08 16:00:00,QC,21,13.89,CC85-92
80,2013/01/08 17:00:00,QC,21,15.01,CC85-92
81,2013/01/08 18:00:00,QC,14,11.01,CC85-92
82,2013/01/08 19:00:00,QC,17,16.79,CC84-75
83,2013/01/08 20:00:00,QC,15,20.79,CC85-92
84,2013/01/08 21:00:00,QC,15,29.22,CC85-92
85,2013/01/08 22:00:00,QC,18,26.51,CC-934418
86,2013/01/08 23:00:00,QC,7,10.35,CC85-92
87,2013/01/09 00:00:00,QC,17,13.58,CC85-92
88,2013/01/09 14:00:00,QC,21,4.72,CC85-92
89,2013/01/09 15:00:00,QC,12,3.23,CC85-92
90,2013/01/09 16:00:00,QC,21,14.93,CC85-92
91,2013/01/09 17:00:00,QC,21,16.75,CC85-92
92,2013/01/09 18:00:00,QC,10,7.75,CC85-92
93,2013/01/09 19:00:00,QC,22,42.07,CC85-92
94,2013/01/09 20:00:00,QC,27,24.33,CC85-92
95,2013/01/09 21:00:00,QC,27,40.34,CC85-92
96,2013/01/09 22:00:00,QC,22,12.63,CC85-92
97,2013/01/09 23:00:00,QC,22,13.01,CC85-92
98,2013/01/10 00:00:00,QC,17,14,CC85-92
99,2013/01/10 13:00:00,QC,12,3.23,CC84-75
100,2013/01/10 14:00:00,QC,21,10.54,CC85-92
101,2013/01/10 15:00:00,QC,21,14.24,CC85-92
102,2013/01/10 16:00:00,QC,27,9.03,CC44-81
103,2013/01/10 17:00:00,QC,27,14.37,CC85-92
104,2013/01/10 18:00:00,QC,22,12.23,CC85-92
105,2013/01/10 19:00:00,QC,27,39.52,CC85-92
106,2013/01/10 20:00:00,QC,27,25.23,CC85-92
107,2013/01/10 21:00:00,QC,22,15.75,CC85-92
108,2013/01/10 22:00:00,QC,17,14.08,CC-934418
109,2013/01/10 23:00:00,QC,17,8.94,CC-8592 
110,2013/01/11 13:00:00,QC,25,5.44,CC44-81
111,2013/01/11 14:00:00,QC,25,5.44,CC44-81
112,2013/01/11 15:00:00,QC,21,8.5,CC85-92
113,2013/01/11 16:00:00,QC,21,11.19,CC85-92
114,2013/01/11 17:00:00,QC,9,6,CC85-92
115,2013/01/11 18:00:00,QC,22,34.7,CC85-92
116,2013/01/11 19:00:00,QC,22,26.01,CC85-92
117,2013/01/11 20:00:00,QC,22,39.34,CC85-92
118,2013/01/11 21:00:00,QC,18,39.98,V 71-51
119,2013/01/11 22:00:00,QC,17,17.32,V 71-51
120,2013/01/11 23:00:00,QC,5,4.5,CC 85-92
121,2013/01/12 12:00:00,QC,25,2.34,CC44-81
122,2013/01/12 13:00:00,QC,5,6,CC 84-75
123,2013/01/12 14:00:00,QC,5,5,CC 93-3826
124,2013/01/12 15:00:00,QC,22,8.89,CC85-92
125,2013/01/12 16:00:00,QC,22,14.49,CC85-92
126,2013/01/12 17:00:00,QC,22,18.78,PR-61632
127,2013/01/12 18:00:00,QC,22,4.6,CC85-92
128,2013/01/12 19:00:00,QC,22,13.24,CC85-92
129,2013/01/12 20:00:00,QC,16,32.91,CC85-92
130,2013/01/12 22:00:00,QC,8,5.01,CC85-92
131,2013/01/12 23:00:00,QC,17,8.05,CC85-92
132,2013/01/13 01:00:00,QC,17,3.78,CC 8475
133,2013/01/13 13:00:00,QC,22,8.12,CC85-92
134,2013/01/13 14:00:00,QC,22,15.07,CC85-92
135,2013/01/13 15:00:00,QC,21,18.69,CC85-92
136,2013/01/13 17:00:00,QC,17,15.79,CC-934418
137,2013/01/13 18:00:00,QC,12,21.9,CC85-92
138,2013/01/13 19:00:00,QC,16,25,Variedades
139,2013/01/13 20:00:00,QC,18,46.12,VARIAS
140,2013/01/13 21:00:00,QC,18,42.27,VARIAS
141,2013/01/13 22:00:00,QC,16,24.93,CC85-92
142,2013/01/13 23:00:00,QC,7,5.03,CC-8592 
143,2013/01/14 00:00:00,QC,7,4.21,CC 84-75
144,2013/01/14 09:00:00,QC,9,7.1,CC85-92
145,2013/01/14 10:00:00,QC,12,3.77,CC44-81
146,2013/01/14 11:00:00,QC,12,3.77,CC44-81
147,2013/01/14 13:00:00,QC,22,2.39,CC85-92
148,2013/01/14 14:00:00,QC,23,7.7,CC85-92
149,2013/01/14 15:00:00,QC,23,12.38,CC85-92
150,2013/01/14 16:00:00,QC,5,4.98,CC 85-92
151,2013/01/14 17:00:00,QC,23,8.66,CC85-92
152,2013/01/14 18:00:00,QC,27,23.17,CC85-92
153,2013/01/14 19:00:00,QC,27,31.87,CC85-92
154,2013/01/14 20:00:00,QC,9,19.11,CC85-92
155,2013/01/14 21:00:00,QC,9,12.56,CC85-92
156,2013/01/15 11:00:00,QC,5,7.22,CC85-92
157,2013/01/15 12:00:00,QC,5,6.62,CC85-92
158,2013/01/15 13:00:00,QC,23,17.95,MZC 74275
159,2013/01/15 14:00:00,QC,23,28.9,MZC 74275
160,2013/01/15 15:00:00,QC,23,37.38,Variedades
161,2013/01/15 16:00:00,QC,27,34.67,Variedades
162,2013/01/15 17:00:00,QC,27,21.67,CC85-92
163,2013/01/15 18:00:00,QC,27,39.71,CC85-92
