ID,fecha_dato,AC,C_C,NM,CV
0,2013-01-01 22:00:00,2.3,IN,21,CC85-92
1,2013-01-02 02:00:00,0.8,IN,23,CC85-92
2,2013-01-02 18:00:00,6.34,IN,12,CC84-75
3,2013-01-02 21:00:00,7.69,IN,12,CC44-81
4,2013-01-03 19:00:00,0.12,IN,23,CC85-92
5,2013-01-03 20:00:00,7.13,IN,22,CC85-92
6,2013-01-03 22:00:00,5.8,IN,4,CC85-92
7,2013-01-04 18:00:00,3.04,IN,6,CC85-92
8,2013-01-04 20:00:00,27.15,IN,23,V71-51
9,2013-01-06 17:00:00,0.62,IN,9,CC85-92
10,2013-01-06 18:00:00,15.07,IN,12,CC85-92
11,2013-01-06 22:00:00,1.4,IN,9,CC85-92
12,2013-01-07 16:00:00,3.57,IN,12,CC85-92
13,2013-01-07 17:00:00,11.13,IN,1,CC85-92
14,2013-01-08 16:00:00,16.49,IN,21,CC85-92
15,2013-01-08 17:00:00,5.32,IN,23,CC85-92
16,2013-01-08 18:00:00,4.66,IN,12,CC85-92
17,2013-01-08 22:00:00,0.04,IN,12,CC85-92
18,2013-01-08 23:00:00,1,IN,7,CC85-92
19,2013-01-09 18:00:00,1,IN,10,CC85-92
20,2013-01-09 19:00:00,2.39,IN,6,CC85-92
21,2013-01-09 23:00:00,3.07,IN,17,CC85-92
22,2013-01-10 12:00:00,2.8,IN,23,CC85-92
23,2013-01-10 18:00:00,8.6,IN,11,CC85-92
24,2013-01-10 20:00:00,4.13,IN,12,CC85-92
25,2013-01-11 04:00:00,3.31,IN,23,CC85-92
26,2013-01-11 15:00:00,17.67,IN,9,CC44-81
27,2013-01-11 17:00:00,17.67,IN,17,CC85-92
28,2013-01-11 18:00:00,17.71,IN,5,CC85-92
29,2013-01-11 22:00:00,0.7,IN,17,CC 8592
30,2013-01-12 15:00:00,7.58,IN,25,CC85-92
31,2013-01-12 22:00:00,0.07,IN,17,CC 8592
32,2013-01-13 13:00:00,5,IN,17,CC85-92
33,2013-01-13 15:00:00,1.39,IN,25,CC85-92
34,2013-01-13 16:00:00,0.5,IN,17,CC85-92
35,2013-01-13 17:00:00,35.92,IN,26,CC85-92
36,2013-01-13 22:00:00,0.5,IN,17,CC85-92
37,2013-01-14 15:00:00,1.71,IN,7,CC85-92
38,2013-01-14 16:00:00,6,IN,9,CC85-92
39,2013-01-14 18:00:00,5.34,IN,23,CC85-92
40,2013-01-14 20:00:00,0.77,IN,4,CC85-92
41,2013-01-15 11:00:00,2.39,IN,10,CC934418
42,2013-01-16 14:00:00,15.1,IN,17,CC85-92
43,2013-01-17 18:00:00,1.7,IN,17,CC84-75
44,2013-01-17 22:00:00,8.64,IN,7,CC85-92
45,2013-01-19 12:00:00,11,IN,12,CC 8592
46,2013-01-19 15:00:00,16.07,IN,17,CC93-3895
47,2013-01-19 18:00:00,0.3,IN,9,CC85-92
48,2013-01-19 20:00:00,15.77,IN,17,CC85-92
49,2013-01-20 14:00:00,1.28,IN,13,CC85-92
50,2013-01-20 16:00:00,4.56,IN,25,CC85-92
51,2013-01-21 15:00:00,2.4,IN,17,PR61-632
52,2013-01-21 18:00:00,11.95,IN,9,CC85-92
53,2013-01-21 20:00:00,9.86,IN,10,CC85-92
54,2013-01-21 22:00:00,3.49,IN,7,CC85-92
55,2013-01-23 11:00:00,0.5,IN,17,CC85-92
56,2013-01-23 17:00:00,0.7,IN,9,CC85-92
57,2013-01-23 20:00:00,1,IN,23,CC85-92
58,2013-01-24 15:00:00,1.94,IN,17,CC85-92
59,2013-01-24 20:00:00,0.5,IN,25,CC85-92
60,2013-01-24 21:00:00,5,IN,17,CC85-92
61,2013-01-26 17:00:00,0.4,IN,9,CC85-92
62,2013-01-26 20:00:00,9.69,IN,4,CC85-92
63,2013-01-27 13:00:00,22.88,IN,9,CC85-92
64,2013-01-27 15:00:00,3.16,IN,17,CC85-92
65,2013-01-27 23:00:00,0.5,IN,17,CC85-92
66,2013-01-28 15:00:00,3.5,IN,7,CC 8592
67,2013-01-28 18:00:00,3,IN,17,CC93-4418
68,2013-01-29 11:00:00,2.71,IN,10,CC85-92
69,2013-01-29 13:00:00,5.89,IN,21,CC85-92
70,2013-01-29 14:00:00,5.6,IN,18,CC 8592
71,2013-01-29 15:00:00,2.27,IN,17,CC 01-1228
72,2013-01-29 17:00:00,1.5,IN,17,CC85-92
73,2013-01-29 20:00:00,4.94,IN,13,CC 8592
74,2013-01-29 21:00:00,24.5,IN,17,V71-51
75,2013-01-29 22:00:00,4.22,IN,17,CC85-92
76,2013-01-30 17:00:00,0.9,IN,4,CC85-92
77,2013-01-30 19:00:00,0.15,IN,17,CC 8592
78,2013-01-30 20:00:00,8.67,IN,17,CC85-92
79,2013-01-30 21:00:00,3,IN,13,CC 8592
80,2013-01-30 22:00:00,2.2,IN,7,CC 8592
81,2013-01-31 05:00:00,2.5,IN,17,CC85-92
82,2013-01-31 20:00:00,0.98,IN,17,CC 8592
83,2013-01-31 21:00:00,4,IN,13,CC 8592
84,2013-02-01 02:00:00,8.02,IN,7,CC93-4418
85,2013-02-01 17:00:00,9.28,IN,4,CC44-81
86,2013-02-01 20:00:00,3.15,IN,12,CC85-92
87,2013-02-03 17:00:00,4.22,IN,10,CC85-92
88,2013-02-03 19:00:00,5.41,IN,17,CC85-92
89,2013-02-04 15:00:00,14.41,IN,4,CC85-92
90,2013-02-05 17:00:00,0.1,IN,6,CC85-92
91,2013-02-05 20:00:00,9.6,IN,4,MZC74-275
92,2013-02-06 21:00:00,9,IN,12,CC85-92
93,2013-02-07 14:00:00,5.88,IN,12,CC85-92
94,2013-02-07 20:00:00,1.5,IN,7,CC85-92
95,2013-02-07 22:00:00,1.35,IN,10,CC85-92
96,2013-02-08 20:00:00,2.71,IN,12,CC85-92
97,2013-02-09 15:00:00,16.72,IN,21,CC85-92
98,2013-02-09 20:00:00,4.18,IN,7,CC85-92
99,2013-02-10 14:00:00,11.34,IN,12,CC85-92
100,2013-02-10 19:00:00,9.91,IN,1,CC85-92
101,2013-02-11 13:00:00,32.08,IN,4,CC85-92
102,2013-02-11 15:00:00,17.85,IN,12,CC85-92
103,2013-02-12 15:00:00,10.52,IN,12,CC85-92
104,2013-02-13 19:00:00,7,IN,17,PR61-632
105,2013-02-13 20:00:00,2.56,IN,7,CC85-92
106,2013-02-14 16:00:00,20.43,IN,12,CC85-92
107,2013-02-14 19:00:00,10.62,IN,17,CC85-92
108,2013-02-14 20:00:00,0.6,IN,12,CC93-4418
109,2013-02-15 13:00:00,3.23,IN,11,CC85-92
110,2013-02-15 21:00:00,5.09,IN,17,VARIAS
111,2013-02-16 18:00:00,13.56,IN,12,CC85-92
112,2013-02-16 23:00:00,9.3,IN,6,CC 8592
113,2013-02-17 11:00:00,2,IN,17,PR61-632
114,2013-02-17 15:00:00,1.96,IN,17,CC93-4418
115,2013-02-17 19:00:00,4.87,IN,6,CC85-92
116,2013-02-18 15:00:00,13.73,IN,9,CC44-81
117,2013-02-19 18:00:00,16.16,IN,12,CC85-92
118,2013-02-20 14:00:00,2.31,IN,17,CC93-4181
119,2013-02-20 15:00:00,8.27,IN,25,CC85-92
120,2013-02-21 22:00:00,13.95,IN,10,CC85-92
121,2013-02-22 14:00:00,1.5,IN,1,CC85-92
122,2013-02-22 18:00:00,4.76,IN,17,CC85-92
123,2013-02-22 19:00:00,14.41,IN,9,CC84-75
124,2013-02-23 18:00:00,1.55,IN,12,CC85-92
125,2013-02-23 20:00:00,6.46,IN,2,CC85-92
126,2013-02-23 23:00:00,5.1,IN,17,VARIAS
127,2013-02-24 16:00:00,1.88,IN,6,CC85-92
128,2013-02-24 22:00:00,3.76,IN,17,CC85-92
129,2013-02-25 13:00:00,18.46,IN,23,CC85-92
130,2013-02-25 22:00:00,1,IN,17,CC84-75
131,2013-02-26 19:00:00,1.1,IN,17,CC85-92
132,2013-02-26 20:00:00,7.54,IN,17,CC84-75
133,2013-02-27 18:00:00,3.29,IN,8,CC85-92
134,2013-02-27 21:00:00,7.54,IN,17,CC85-92
135,2013-02-28 14:00:00,0.82,IN,6,CC85-92
136,2013-02-28 16:00:00,3.05,IN,6,CC85-92
137,2013-02-28 20:00:00,4.77,IN,17,CC85-92
138,2013-02-28 21:00:00,1.4,IN,17,CC85-92
139,2013-02-28 23:00:00,1,IN,17,CC85-92
140,2013-03-01 20:00:00,5.9,IN,17,CC85-92
141,2013-03-01 22:00:00,0.64,IN,7,CC85-92
142,2013-03-02 14:00:00,7.07,IN,7,CC85-92
143,2013-03-02 20:00:00,5,IN,17,CC85-92
144,2013-03-03 16:00:00,4.54,IN,17,CC84-75
145,2013-03-03 18:00:00,0.4,IN,17,CC93-4418
146,2013-03-03 20:00:00,0.3,IN,13,CC 8592
147,2013-03-04 16:00:00,1.42,IN,17,CC85-92
148,2013-03-04 21:00:00,3.3,IN,10,CC 8592
149,2013-03-06 13:00:00,14.12,IN,17,CC84-75
150,2013-03-06 15:00:00,0.1,IN,17,CC84-75
151,2013-03-06 18:00:00,4.81,IN,6,CC85-92
152,2013-03-07 16:00:00,5.33,IN,17,CC85-92
153,2013-03-07 17:00:00,3.84,IN,17,CC85-92
154,2013-03-07 18:00:00,4,IN,17,CC84-75
155,2013-03-07 19:00:00,4.34,IN,17,CC85-92
156,2013-03-07 21:00:00,5.41,IN,10,CC 8592
157,2013-03-08 17:00:00,2.62,IN,17,CC85-92
158,2013-03-08 23:00:00,9.3,IN,17,CC85-92
159,2013-03-09 18:00:00,3.4,IN,6,CC85-92
160,2013-03-09 20:00:00,5.57,IN,17,CC85-92
161,2013-03-10 16:00:00,7,IN,9,CC85-92
162,2013-03-10 19:00:00,2.03,IN,12,CC85-92
163,2013-03-10 20:00:00,0.1,IN,17,CC85-92
164,2013-03-10 22:00:00,14.12,IN,17,PR61-632
165,2013-03-11 20:00:00,3,IN,17,CC85-92
166,2013-03-12 16:00:00,2.85,IN,25,CC85-92
167,2013-03-12 18:00:00,0.93,IN,17,CC85-92
168,2013-03-12 22:00:00,4,IN,18,CC85-92
169,2013-03-13 17:00:00,3.95,IN,12,CC85-92
170,2013-03-14 12:00:00,33.17,IN,25,CC87-505
171,2013-03-14 19:00:00,1.52,IN,7,CC85-92
172,2013-03-16 19:00:00,8.36,IN,12,CC44-81
173,2013-03-17 15:00:00,22.95,IN,12,CC85-92
174,2013-03-19 20:00:00,6.48,IN,17,CC85-92
175,2013-03-21 15:00:00,5.09,IN,6,CC85-92
176,2013-03-23 14:00:00,1.5,IN,17,CC85-92
177,2013-03-23 16:00:00,1.5,IN,7,CC85-92
178,2013-03-24 12:00:00,7,IN,17,CC85-92
179,2013-03-24 17:00:00,0.9,IN,17,CC85-92
180,2013-03-25 17:00:00,1.78,IN,4,CC85-92
181,2013-03-25 18:00:00,2.75,IN,25,CC 8592
182,2013-03-26 20:00:00,9.66,IN,22,CC85-92
183,2013-03-27 17:00:00,2,IN,18,CC85-92
184,2013-03-28 16:00:00,9.89,IN,4,CC85-92
185,2013-03-29 17:00:00,1.34,IN,23,CC85-92
186,2013-03-29 21:00:00,6.82,IN,17,CC85-92
187,2013-03-30 15:00:00,8.7,IN,4,CC85-92
188,2013-03-30 17:00:00,3.87,IN,17,CC85-92
189,2013-03-30 21:00:00,2.43,IN,17,CC85-92
190,2013-03-30 22:00:00,2.6,IN,17,CC85-92
191,2013-03-31 17:00:00,19.66,IN,17,CC84-75
192,2013-03-31 21:00:00,6.78,IN,17,CC85-92
193,2013-04-01 13:00:00,9.15,IN,4,CC85-92
194,2013-04-01 17:00:00,19.53,IN,17,CC 85-92
195,2013-04-01 20:00:00,4.7,IN,17,CC85-92
196,2013-04-01 21:00:00,6.78,IN,17,CC 85-92
197,2013-04-02 13:00:00,5.4,IN,17,CC85-92
198,2013-04-02 14:00:00,6.73,IN,4,CC85-92
199,2013-04-02 17:00:00,3.7,IN,17,CC 84-75
200,2013-04-02 21:00:00,1.48,IN,17,CC 85-92
201,2013-04-02 22:00:00,2.6,IN,17,CC 85-92
202,2013-04-02 23:00:00,8.6,IN,12,CC85-92
203,2013-04-03 17:00:00,1,IN,17,CC 84-75
204,2013-04-03 21:00:00,2.43,IN,17,CC 85-92
205,2013-04-03 22:00:00,0.5,IN,13,CC 8592
206,2013-04-04 22:00:00,5.2,IN,12,CC85-92
207,2013-04-05 23:00:00,2.74,IN,17,CC85-92
208,2013-04-06 20:00:00,1.67,IN,9,CC 85-92
209,2013-04-07 19:00:00,3.7,IN,18,CC 8592
210,2013-04-07 20:00:00,5.43,IN,7,CC85-92
211,2013-04-07 21:00:00,1.28,IN,23,MISCELANEA
212,2013-04-08 14:00:00,3,IN,17,CC 85-92
213,2013-04-08 18:00:00,2.43,IN,13,CC85-92
214,2013-04-08 22:00:00,31.84,IN,12,CC85-92
215,2013-04-09 17:00:00,6.66,IN,17,CC 85-92
216,2013-04-09 19:00:00,5.16,IN,25,CC85-92
217,2013-04-09 22:00:00,9.58,IN,17,CC 85-92
218,2013-04-09 23:00:00,7.86,IN,12,CC85-92
219,2013-04-10 01:00:00,10,IN,17,CC 85-92
220,2013-04-10 18:00:00,33.26,IN,25,CC85-92
221,2013-04-10 19:00:00,20.42,IN,25,CC85-92
222,2013-04-10 23:00:00,86.06,IN,12,CC85-92
223,2013-04-11 18:00:00,2.59,IN,17,CC 93-4418
224,2013-04-11 19:00:00,3.59,IN,17,CC 85-92
225,2013-04-11 20:00:00,1.5,IN,6,CC 85-92
226,2013-04-12 20:00:00,2.71,IN,12,PR 61-632
227,2013-04-12 21:00:00,9.92,IN,12,CC85-92
228,2013-04-13 21:00:00,3.98,IN,12,CC85-92
229,2013-04-14 19:00:00,3.8,IN,4,CC85-92
230,2013-04-14 21:00:00,6.45,IN,17,V 71-51
231,2013-04-15 13:00:00,7,IN,26,CC 85-92
232,2013-04-15 14:00:00,3.04,IN,9,CC85-92
233,2013-04-15 19:00:00,8.7,IN,4,CC85-92
234,2013-04-16 18:00:00,4.6,IN,7,CC85-92
235,2013-04-16 19:00:00,6.52,IN,6,CC85-92
236,2013-04-16 20:00:00,6.08,IN,18,CC85-92
237,2013-04-16 21:00:00,15.75,IN,17,CC85-92
238,2013-04-17 15:00:00,1.4,IN,9,CC85-92
239,2013-04-17 19:00:00,1.2,IN,18,CC 8475
240,2013-04-18 18:00:00,4.52,IN,17,CC 93-4418
241,2013-04-18 20:00:00,2.6,IN,12,CC85-92
242,2013-04-19 18:00:00,6.03,IN,17,CC85-92
243,2013-04-22 13:00:00,11.62,IN,7,CC93-4418
244,2013-04-22 20:00:00,14,IN,17,CC 85-92
245,2013-04-23 15:00:00,1.5,IN,10,CC01-1940
246,2013-04-23 17:00:00,0.25,IN,12,CC 85-92
247,2013-04-23 20:00:00,8.93,IN,17,CC 85-92
248,2013-04-24 15:00:00,17.27,IN,7,CC93-4418
249,2013-04-24 18:00:00,3.03,IN,9,CC 92-2198
250,2013-04-25 15:00:00,0.3,IN,26,CC 85-92
251,2013-04-25 16:00:00,2.41,IN,4,CC44-81
252,2013-04-25 19:00:00,2,IN,17,CC 85-92
253,2013-04-25 23:00:00,0.32,IN,10,CC85-92
254,2013-04-26 11:00:00,1.6,IN,17,CC 84-75
255,2013-04-26 16:00:00,13.29,IN,18,CC84-75
256,2013-04-27 13:00:00,10.35,IN,11,CC85-92
257,2013-04-27 17:00:00,1.02,IN,10,CC92-2393
258,2013-04-27 21:00:00,6,IN,17,PR 61-632
259,2013-04-27 22:00:00,2.8,IN,9,CC85-92
260,2013-04-28 22:00:00,3,IN,13,CC85-92
261,2013-04-29 09:00:00,0.8,IN,11,CC85-92
262,2013-04-29 13:00:00,0.85,IN,10,CC93-4418
263,2013-04-29 15:00:00,26.11,IN,17,CC 93-4418
264,2013-04-29 22:00:00,20.93,IN,17,CC 93-7510
265,2013-04-30 22:00:00,2.5,IN,17,CC 85-92
266,2013-05-01 13:00:00,0.27,IN,17,CC 85-92
267,2013-05-02 21:00:00,2.73,IN,17,CC85-92
268,2013-05-03 13:00:00,3.3,IN,18,CC 85-92
269,2013-05-04 11:00:00,5.68,IN,7,CC85-92
270,2013-05-04 16:00:00,2.5,IN,6,CC85-92
271,2013-05-04 19:00:00,2.58,IN,17,CC 85-92
272,2013-05-06 19:00:00,0.76,IN,17,CC 85-92
273,2013-05-06 20:00:00,2.71,IN,17,CC 85-92
274,2013-05-07 15:00:00,8.97,IN,17,CC85-92
275,2013-05-08 16:00:00,5.71,IN,23,VARIAS
276,2013-05-08 18:00:00,1.54,IN,18,CC84-75
277,2013-05-08 19:00:00,0.72,IN,6,CC85-92
278,2013-05-08 20:00:00,3.6,IN,17,CC 85-92
279,2013-05-08 21:00:00,0.99,IN,17,CC 01-1228
280,2013-05-09 20:00:00,10.9,IN,17,MZC 74-275
281,2013-05-10 16:00:00,1.62,IN,7,CC93-4418
282,2013-05-10 17:00:00,3.5,IN,6,PR61-632
283,2013-05-11 16:00:00,1,IN,17,CC 85-92
284,2013-05-11 22:00:00,0.3,IN,9,CC85-92
285,2013-05-12 13:00:00,7.07,IN,17,CC85-92
286,2013-05-12 14:00:00,3,IN,17,CC 93-4418
287,2013-05-13 13:00:00,5.84,IN,25,CC85-92
288,2013-05-13 15:00:00,2.58,IN,7,CC85-92
289,2013-05-13 21:00:00,1.53,IN,17,CC 85-92
290,2013-05-14 16:00:00,4.6,IN,18,VARIAS
291,2013-05-14 17:00:00,3.51,IN,12,CC85-92
292,2013-05-14 18:00:00,3.7,IN,25,CC85-92
293,2013-05-14 20:00:00,1.29,IN,25,CC85-92
294,2013-05-15 17:00:00,3.67,IN,17,CC 84-75
295,2013-05-15 23:00:00,4.24,IN,17,CC 85-92
296,2013-05-16 11:00:00,1.05,IN,12,CC 93-4418
297,2013-05-16 21:00:00,4.5,IN,17,CC 85-92
298,2013-05-16 22:00:00,0.3,IN,9,CC85-92
299,2013-05-17 17:00:00,0.72,IN,10,CC85-92
300,2013-05-18 11:00:00,1.73,IN,18,VARIAS
301,2013-05-18 13:00:00,3.89,IN,10,CC84-75
302,2013-05-18 17:00:00,5.6,IN,6,CC85-92
303,2013-05-19 16:00:00,12.97,IN,12,CC85-92
304,2013-05-20 05:00:00,1.45,IN,7,CC85-92
305,2013-05-20 06:00:00,13.5,IN,18,CC84-75
306,2013-05-20 14:00:00,0.9,IN,17,CC 85-92
307,2013-05-20 15:00:00,16.43,IN,11,CC85-92
308,2013-05-20 19:00:00,8,IN,17,CC 85-92
309,2013-05-21 15:00:00,2.5,IN,6,CC85-92
310,2013-05-21 20:00:00,12,IN,17,CC 84-75
311,2013-05-25 00:00:00,2.4,IN,9,CC85-92
312,2013-05-25 17:00:00,23.06,IN,4,CC85-92
313,2013-05-26 22:00:00,5.6,IN,9,CC85-92
314,2013-05-27 15:00:00,0.34,IN,4,V71-51
315,2013-05-27 17:00:00,11.24,IN,12,CC85-92
316,2013-05-31 19:00:00,5.48,IN,17,CC 85-92
317,2013-05-31 20:00:00,0.54,IN,17,CC 85-92
318,2013-06-01 12:00:00,6.26,IN,6,CC85-92
319,2013-06-01 15:00:00,6.08,IN,12,CC85-92
320,2013-06-01 17:00:00,11,IN,17,CC 85-92
321,2013-06-02 15:00:00,4,IN,17,PR61-632
322,2013-06-02 17:00:00,18.63,IN,21,CC85-92
323,2013-06-02 20:00:00,15,IN,17,CC 85-92
324,2013-06-03 20:00:00,8.14,IN,17,CC01-1228
325,2013-06-04 14:00:00,1,IN,10,CC85-92
326,2013-06-04 17:00:00,3.68,IN,21,CC85-92
327,2013-06-04 19:00:00,4.27,IN,17,CC85-92
328,2013-06-04 20:00:00,2.9,IN,23,CC85-92
329,2013-06-05 21:00:00,2.57,IN,23,CC85-92
330,2013-06-06 17:00:00,4.5,IN,6,VARIEDADES EXP.
331,2013-06-06 23:00:00,4.8,IN,17,CC 85-92
332,2013-06-07 00:00:00,16.2,IN,17,CC85-92
333,2013-06-07 11:00:00,10.59,IN,17,CC 85-92
334,2013-06-07 16:00:00,11,IN,6,CC 01-1940
335,2013-06-07 17:00:00,2.32,IN,12,CC85-92
336,2013-06-07 20:00:00,4,IN,9,CC85-92
