,date,CV
0,2013/01/01 12:00:00,CC85-92
1,2013/01/01 13:00:00,CC85-92
2,2013/01/01 16:00:00,CC85-92
3,2013/01/01 17:00:00,CC-934418
4,2013/01/01 18:00:00,CC-934418
5,2013/01/01 20:00:00,CC-8592 
6,2013/01/01 21:00:00,Variedades
7,2013/01/02 10:00:00,CC 8592
8,2013/01/02 11:00:00,CC85-92
9,2013/01/02 12:00:00,CC85-92
10,2013/01/02 13:00:00,CC85-92
11,2013/01/02 14:00:00,CC85-92
12,2013/01/02 15:00:00,CC85-92
13,2013/01/02 16:00:00,CC85-92
14,2013/01/02 17:00:00,MISCELANEOS
15,2013/01/02 18:00:00,CC933895
16,2013/01/02 19:00:00,CC85-92
17,2013/01/02 20:00:00,CC934418
18,2013/01/02 21:00:00,CC934418
19,2013/01/02 22:00:00,CC93-4418
20,2013/01/03 12:00:00,CC85-92
21,2013/01/03 13:00:00,CC85-92
22,2013/01/03 14:00:00,CC85-92
23,2013/01/03 15:00:00,CC85-92
24,2013/01/03 16:00:00,CC85-92
25,2013/01/03 17:00:00,CC84-75
26,2013/01/03 18:00:00,PREPARA
27,2013/01/03 19:00:00,CC85-92
28,2013/01/03 20:00:00,CC85-92
29,2013/01/03 21:00:00,CC85-92
30,2013/01/03 22:00:00,CC85-92
31,2013/01/03 23:00:00,CC85-92
32,2013/01/04 11:00:00,CC84-75
33,2013/01/04 12:00:00,CC 8475
34,2013/01/04 14:00:00,CC 85-92
35,2013/01/04 15:00:00,CC93-4418
36,2013/01/04 16:00:00,CC85-92
37,2013/01/04 17:00:00,CC85-92
38,2013/01/04 18:00:00,CC-934418
39,2013/01/04 19:00:00,CC-8592 
40,2013/01/04 20:00:00,CC93-4418
41,2013/01/04 21:00:00,CC-8475 Cenican
42,2013/01/04 22:00:00,CC-8475 Cenican
43,2013/01/05 09:00:00,CC85-92
44,2013/01/05 10:00:00,CC85-92
45,2013/01/05 11:00:00,CC84-75
46,2013/01/05 12:00:00,CC84-75
47,2013/01/05 14:00:00,CC44-81
48,2013/01/05 16:00:00,PR 61-632
49,2013/01/05 17:00:00,CC85-92
50,2013/01/05 18:00:00,CC85-92
51,2013/01/05 20:00:00,CC 01-1228
52,2013/01/06 12:00:00,CC84-75
53,2013/01/06 13:00:00,CC84-75
54,2013/01/06 14:00:00,CC 8592
55,2013/01/06 15:00:00,PREPARA
56,2013/01/06 16:00:00,MZC74275
57,2013/01/06 17:00:00,CC85-92
58,2013/01/06 18:00:00,CC85-92
59,2013/01/06 19:00:00,CC-8592 
60,2013/01/06 20:00:00,CC-8592 
61,2013/01/06 21:00:00,CC-8592 
62,2013/01/06 22:00:00,CC-8592 
63,2013/01/07 08:00:00,CC 8592
64,2013/01/07 09:00:00,CC 8592
65,2013/01/07 10:00:00,CC85-92
66,2013/01/07 12:00:00,CC85-92
67,2013/01/07 13:00:00,V71-51
68,2013/01/07 14:00:00,V71-51
69,2013/01/07 15:00:00,CC85-92
70,2013/01/07 16:00:00,CC85-92
71,2013/01/07 17:00:00,CC85-92
72,2013/01/07 18:00:00,CC85-92
73,2013/01/07 19:00:00,CC85-92
74,2013/01/07 20:00:00,CC85-92
75,2013/01/07 21:00:00,CC85-92
76,2013/01/07 22:00:00,CC85-92
77,2013/01/08 14:00:00,CC85-92
78,2013/01/08 15:00:00,PR 61-632
79,2013/01/08 16:00:00,PR 61-632
80,2013/01/08 17:00:00,CC85-92
81,2013/01/08 18:00:00,V71-51
82,2013/01/08 19:00:00,V71-51
83,2013/01/08 20:00:00,V71-51
84,2013/01/08 21:00:00,SP71-6949
85,2013/01/08 22:00:00,CC85-92
86,2013/01/08 23:00:00,CC 93-4418
87,2013/01/09 00:00:00,CC 85-92
88,2013/01/09 08:00:00,CC 8592
89,2013/01/09 09:00:00,CC85-92
90,2013/01/09 10:00:00,CC01-1228
91,2013/01/09 11:00:00,CC85-92
92,2013/01/09 12:00:00,CC85-92
93,2013/01/09 13:00:00,CC85-92
94,2013/01/09 14:00:00,V 7151
95,2013/01/09 15:00:00,CC85-92
96,2013/01/09 16:00:00,VARIAS
97,2013/01/09 17:00:00,VARIAS
98,2013/01/09 18:00:00,CC85-92
99,2013/01/09 19:00:00,CC85-92
100,2013/01/09 20:00:00,CC-8592 
101,2013/01/09 21:00:00,CC-8592 
102,2013/01/09 22:00:00,CC85-92
103,2013/01/09 23:00:00,CC85-92
104,2013/01/10 00:00:00,CC84-75
105,2013/01/10 10:00:00,CC85-92
106,2013/01/10 11:00:00,CC85-92
107,2013/01/10 12:00:00,CC44-81
108,2013/01/10 13:00:00,V71-51
109,2013/01/10 14:00:00,V71-51
110,2013/01/10 15:00:00,V71-51
111,2013/01/10 16:00:00,CC85-92
112,2013/01/10 17:00:00,V 71-51
113,2013/01/10 18:00:00,V71-51
114,2013/01/10 19:00:00,CC85-92
115,2013/01/10 20:00:00,CC-8592 
116,2013/01/10 21:00:00,Variedades
117,2013/01/10 22:00:00,CC-8592 
118,2013/01/11 10:00:00,CC 8592
119,2013/01/11 12:00:00,CC84-75
120,2013/01/11 13:00:00,CC85-92
121,2013/01/11 14:00:00,V-7151 Venezuel
122,2013/01/11 15:00:00,V-7151 Venezuel
123,2013/01/11 16:00:00,PREPARA
124,2013/01/11 17:00:00,V71-51
125,2013/01/11 18:00:00,CC85-92
126,2013/01/11 19:00:00,VARIAS
127,2013/01/11 20:00:00,CC85-92
128,2013/01/11 21:00:00,CC85-92
129,2013/01/11 22:00:00,CC 84-75
130,2013/01/11 23:00:00,CC 85-92
