,date,NC
0,2013/01/01 12:00:00,Angosturas
1,2013/01/01 13:00:00,Angosturas
2,2013/01/01 16:00:00,Narino
3,2013/01/01 17:00:00,Tienda Nueva
4,2013/01/01 18:00:00,Tienda Nueva
5,2013/01/01 20:00:00,Madrevieja
6,2013/01/01 21:00:00,Madrevieja
7,2013/01/02 10:00:00,Narino
8,2013/01/02 11:00:00,Narino
9,2013/01/02 12:00:00,Narino
10,2013/01/02 13:00:00,48
11,2013/01/02 14:00:00,Santa Rita
12,2013/01/02 15:00:00,Santa Rita
13,2013/01/02 16:00:00,Santana
14,2013/01/02 17:00:00,San Antonio
15,2013/01/02 18:00:00,Paso De La Bolsa
16,2013/01/02 19:00:00,Potrerito
17,2013/01/02 20:00:00,Tulipan
18,2013/01/02 21:00:00,Tulipan
19,2013/01/02 22:00:00,Rozo
20,2013/01/03 12:00:00,Narino
21,2013/01/03 13:00:00,Narino
22,2013/01/03 14:00:00,Narino
23,2013/01/03 15:00:00,San Antonio
24,2013/01/03 16:00:00,San Antonio
25,2013/01/03 17:00:00,San Antonio
26,2013/01/03 18:00:00,San Antonio
27,2013/01/03 19:00:00,nd
28,2013/01/03 20:00:00,nd
29,2013/01/03 21:00:00,El Villar
30,2013/01/03 22:00:00,El Villar
31,2013/01/03 23:00:00,El Villar
32,2013/01/04 11:00:00,Sonso
33,2013/01/04 12:00:00,Portugal De Piedras
34,2013/01/04 14:00:00,Tierra Blanca
35,2013/01/04 15:00:00,Villapaz
36,2013/01/04 16:00:00,Villapaz
37,2013/01/04 17:00:00,Villapaz
38,2013/01/04 18:00:00,San Joaquin
39,2013/01/04 19:00:00,San Joaquin
40,2013/01/04 20:00:00,Quintero
41,2013/01/04 21:00:00,San Joaquin
42,2013/01/04 22:00:00,San Joaquin
43,2013/01/05 09:00:00,San Antonio
44,2013/01/05 10:00:00,San Antonio
45,2013/01/05 11:00:00,San Antonio
46,2013/01/05 12:00:00,San Antonio
47,2013/01/05 14:00:00,San Antonio
