,date,NH
0,2013/01/01 12:00:00,EL GUAYABO
1,2013/01/01 13:00:00,EL GUAYABO
2,2013/01/01 16:00:00,CAIRO
3,2013/01/01 17:00:00,San Jose de Nima
4,2013/01/01 18:00:00,San Jose de Nima
5,2013/01/01 20:00:00,Zainera
6,2013/01/01 21:00:00,Zainera
7,2013/01/02 10:00:00,LA PALMA
8,2013/01/02 11:00:00,COLORADA
9,2013/01/02 12:00:00,LA JULIA SAAVEDRA
10,2013/01/02 13:00:00,SAN MARCOS I 
11,2013/01/02 14:00:00,SAN MARCOS I 
12,2013/01/02 15:00:00,SAN MARCOS
13,2013/01/02 16:00:00,PLANISOL
14,2013/01/02 17:00:00,ZANJON RICO MANUEL
15,2013/01/02 18:00:00,ZANJON RICO MANUEL
16,2013/01/02 19:00:00,VICTORIA
17,2013/01/02 20:00:00,YENNI VALENCIA BALANTA
18,2013/01/02 21:00:00,Turin
19,2013/01/02 22:00:00,Turin
20,2013/01/03 12:00:00,SAUSAL
21,2013/01/03 13:00:00,SAUSAL
22,2013/01/03 14:00:00,LA CABANA
23,2013/01/03 15:00:00,UKRANIA(LOPEZ)
24,2013/01/03 16:00:00,UKRANIA(LOPEZ)
25,2013/01/03 17:00:00,WILMER ARBEY MERA
26,2013/01/03 18:00:00,NARANJO CABA A
27,2013/01/03 19:00:00,SILENCIO AGR
28,2013/01/03 20:00:00,Pichucho
29,2013/01/03 21:00:00,LA CATALINA
30,2013/01/03 22:00:00,LA CATALINA
31,2013/01/03 23:00:00,LA CATALINA
32,2013/01/04 11:00:00,LA JULIA
33,2013/01/04 12:00:00,EL CARMEN
34,2013/01/04 14:00:00,ISUGU Y OTROS
35,2013/01/04 15:00:00,MOSCU
36,2013/01/04 16:00:00,LAS CANAS
37,2013/01/04 17:00:00,SAN JOSE
38,2013/01/04 18:00:00,Tulipanes
39,2013/01/04 19:00:00,Tulipanes
40,2013/01/04 20:00:00,Tulipanes
41,2013/01/04 21:00:00,TAJO 1
42,2013/01/04 22:00:00,Los Almendros
43,2013/01/05 09:00:00,GENOVA
44,2013/01/05 10:00:00,LIBANO
45,2013/01/05 11:00:00,GENOVA
46,2013/01/05 12:00:00,SAN FERNANDO
47,2013/01/05 14:00:00,LA LOMITA
48,2013/01/05 16:00:00,GUAGUYA
49,2013/01/05 17:00:00,LA LORENA
50,2013/01/05 18:00:00,REVANCHA
51,2013/01/05 20:00:00,FLORENCIA
52,2013/01/06 12:00:00,ASTURIAS
53,2013/01/06 13:00:00,RUSVEL VALENCIA
54,2013/01/06 14:00:00,HATO ADECAnAS
55,2013/01/06 15:00:00,TAULA CHIMAN AGROINDUSTRIAS
56,2013/01/06 16:00:00,RUSVEL VALENCIA
57,2013/01/06 17:00:00,PIEDECHINCHE
58,2013/01/06 18:00:00,La Yolanda
59,2013/01/06 19:00:00,El Talego - Agricola La Esperanza Ltda.
60,2013/01/06 20:00:00,Pasoancho - Eduardo Jose Barona
61,2013/01/06 21:00:00,San Luis Cadavid
62,2013/01/06 22:00:00,San Luis Cadavid
63,2013/01/07 08:00:00,PORTACHUELO
64,2013/01/07 09:00:00,PORTACHUELO
65,2013/01/07 10:00:00,MONTAnOS
66,2013/01/07 12:00:00,SAN MARCOS
67,2013/01/07 13:00:00,PATIO BONITO LOTE 3
68,2013/01/07 14:00:00,PERODIAS - YOLANDA
69,2013/01/07 15:00:00,SANTA ELENA I
70,2013/01/07 16:00:00,SANTA ELENA I
71,2013/01/07 17:00:00,San Antonio Gallego
72,2013/01/07 18:00:00,SINCERIN  #4A ZULUAGA
73,2013/01/07 19:00:00,San Antonio Boyaca
74,2013/01/07 20:00:00,La Milagrosa
75,2013/01/07 21:00:00,VILLA JUAREZ
76,2013/01/07 22:00:00,NARANJOS
77,2013/01/08 14:00:00,SANTA MONICA
78,2013/01/08 15:00:00,UKRANIA(LOPEZ)
79,2013/01/08 16:00:00,Pasto Rico Garcia - Familia Garcia
80,2013/01/08 17:00:00,SANTA ROSA
81,2013/01/08 18:00:00,VENECIA
82,2013/01/08 19:00:00,VENECIA
83,2013/01/08 20:00:00,VENECIA
84,2013/01/08 21:00:00,Santa Marta - Grupo Pichucho
85,2013/01/08 22:00:00,Zainera
86,2013/01/08 23:00:00,EL LAGO
87,2013/01/09 00:00:00,GUAGUYA
88,2013/01/09 08:00:00,LOS NARANJOS
89,2013/01/09 09:00:00,SAN JUANITO
90,2013/01/09 10:00:00,LA ALSACIA
91,2013/01/09 11:00:00,LA ALSACIA
92,2013/01/09 12:00:00,LA YOLANDA
93,2013/01/09 13:00:00,PALMA DUQUE
94,2013/01/09 14:00:00,SAN JERONIMO
95,2013/01/09 15:00:00,VILLA YOLANDA SEMPRECOL
96,2013/01/09 16:00:00,VILLA YOLANDA SEMPRECOL
97,2013/01/09 17:00:00,MORILLO
98,2013/01/09 18:00:00,SANTA INES BAPI S.A
99,2013/01/09 19:00:00,SILENCIO AGROSILVALLE
100,2013/01/09 20:00:00,Villa Hermosa Bola s
101,2013/01/09 21:00:00,Villa Hermosa Bola s
102,2013/01/09 22:00:00,La Carolina
103,2013/01/09 23:00:00,AGROBOLGA LOTE 3
104,2013/01/10 00:00:00,VILLA INES
105,2013/01/10 10:00:00,BALLESTEROS
106,2013/01/10 11:00:00,PORTACHUELO
107,2013/01/10 12:00:00,VALPARAISO
108,2013/01/10 13:00:00,VALPARAISO
109,2013/01/10 14:00:00,DELIRIOS
110,2013/01/10 15:00:00,SANTA ISABEL CAVI
111,2013/01/10 16:00:00,SANTA ISABEL CAVI
112,2013/01/10 17:00:00,SANTA ROSA S.A.
113,2013/01/10 18:00:00,TIERRA GRATA
114,2013/01/10 19:00:00,SANTA ANA
115,2013/01/10 20:00:00,La Guaira
116,2013/01/10 21:00:00,VILLA INES
117,2013/01/10 22:00:00,Galicia Reyes
118,2013/01/11 10:00:00,ARMONIA
119,2013/01/11 12:00:00,LOS LAGOS
120,2013/01/11 13:00:00,NIZA TASCON
121,2013/01/11 14:00:00,Yolanda Reyes
122,2013/01/11 15:00:00,Yolanda Reyes
123,2013/01/11 16:00:00,TOTUI
124,2013/01/11 17:00:00,SANTA TERESA
125,2013/01/11 18:00:00,SANTA LUCIA (EL RHIN)
126,2013/01/11 19:00:00,SANTA LUCIA (EL RHIN)
127,2013/01/11 20:00:00,EL MOJON
128,2013/01/11 21:00:00,Rumia
129,2013/01/11 22:00:00,INDUSTRIA-DORIS
130,2013/01/11 23:00:00,LA PERGOLA 3
131,2013/01/12 11:00:00,PICHICHI
132,2013/01/12 12:00:00,PICHICHI
133,2013/01/12 13:00:00,RIO DE JANEIRO
134,2013/01/12 14:00:00,San Antonio
135,2013/01/12 15:00:00,VILELA  AGROCUENCA
136,2013/01/12 16:00:00,VILELA  AGROCUENCA
137,2013/01/12 17:00:00,RANCHO GRANDE
138,2013/01/12 18:00:00,JUNIN BERNARDO
139,2013/01/12 19:00:00,LOTE REBELLON
140,2013/01/12 20:00:00,LA MUNDA - ESMERALDA
141,2013/01/12 22:00:00,ALTO MIRAFLORES CAUCA
142,2013/01/13 01:00:00,EL TABLON ALTO PROVEEDOR
143,2013/01/13 11:00:00,EL DANUBIO II
144,2013/01/13 12:00:00,SEBASTOPOL
145,2013/01/13 13:00:00,BELGICA III
146,2013/01/13 14:00:00,PALIZADAS
147,2013/01/13 15:00:00,VENECIA CABAL
148,2013/01/13 16:00:00,VENECIA CABAL
149,2013/01/13 17:00:00,VENECIA
150,2013/01/13 18:00:00,VENECIA CABAL
151,2013/01/13 19:00:00,SAN JOAQUIN.
152,2013/01/13 20:00:00,SAN FERNANDO
153,2013/01/13 21:00:00,Santa Marta - Juan Jose Borrero Suc.
154,2013/01/13 22:00:00,Santa Marta - Juan Jose Borrero Suc.
155,2013/01/13 23:00:00,LOTE VILLA CILIA GERMAN COBO
156,2013/01/14 09:00:00,GENOVA
157,2013/01/14 10:00:00,BUENOS AIRES
158,2013/01/14 11:00:00,SANTA MONICA
159,2013/01/14 12:00:00,EL DANUBIO II
160,2013/01/14 13:00:00,EL DANUBIO II
161,2013/01/14 14:00:00,VENECIA CABAL
162,2013/01/14 15:00:00,PALIZADAS
163,2013/01/14 16:00:00,La Milagrosa
164,2013/01/14 17:00:00,VERAGUAS I
165,2013/01/14 18:00:00,SAN DIEGO II
166,2013/01/14 19:00:00,SAN JOAQUIN.
167,2013/01/14 20:00:00,SAN JOAQUIN.
168,2013/01/14 21:00:00,PINEDA ARRENDAMIENTO
169,2013/01/14 22:00:00,CABA A
170,2013/01/14 23:00:00,LA ALBANIA
171,2013/01/15 10:00:00,SAN DIEGO II
172,2013/01/15 11:00:00,SAN DIEGO II
173,2013/01/15 12:00:00,SAN DIEGO II
174,2013/01/15 13:00:00,VERAGUAS I
175,2013/01/15 14:00:00,VERAGUAS I
176,2013/01/15 15:00:00,VERAGUAS I
177,2013/01/15 16:00:00,SAUZAL
178,2013/01/15 17:00:00,TULIPANES
179,2013/01/15 18:00:00,VISTA HERMOSA
180,2013/01/15 19:00:00,Zainera
181,2013/01/15 20:00:00,Zainera
182,2013/01/15 21:00:00,LA ESCOCIA
183,2013/01/16 10:00:00,SAN JUANITO
184,2013/01/16 11:00:00,RANCHO GRANDE
185,2013/01/16 12:00:00,SAN RAFAEL CANANGUA 2
186,2013/01/16 13:00:00,SAN RAFAEL CANANGUA 2
187,2013/01/16 14:00:00,LA GONZALES
188,2013/01/16 15:00:00,VERAGUAS I
189,2013/01/16 16:00:00,WILSON MINA
190,2013/01/16 17:00:00,VERAGUAS I
191,2013/01/16 18:00:00,VICTORIA
192,2013/01/16 19:00:00,VICTORIA
193,2013/01/16 20:00:00,RIOPAILA INDUSTRIAL
194,2013/01/16 21:00:00,LA LUISA
195,2013/01/16 22:00:00,EL CABEZON
196,2013/01/16 23:00:00,EL CABEZON
197,2013/01/17 10:00:00,RHIN
198,2013/01/17 11:00:00,RHIN
199,2013/01/17 12:00:00,LORENA
200,2013/01/17 13:00:00,SAN RAFAEL CANANGUA 2
201,2013/01/17 14:00:00,CACHIMBALITO NORTE
202,2013/01/17 15:00:00,VERAGUAS I
203,2013/01/17 16:00:00,VERAGUAS I
204,2013/01/17 17:00:00,VERAGUAS I
205,2013/01/17 18:00:00,VERAGUAS I
206,2013/01/17 19:00:00,RIOPAILA
207,2013/01/17 20:00:00,VERAGUAS I
208,2013/01/17 21:00:00,ZANJON HONDO
209,2013/01/17 22:00:00,EL ROSARIO PIZARRO
210,2013/01/18 10:00:00,EL SILENCIO
211,2013/01/18 12:00:00,SAN RAFAEL CANANGUA 2
212,2013/01/18 13:00:00,VERAGUAS I
213,2013/01/18 14:00:00,VERAGUAS I
214,2013/01/18 15:00:00,SUIZA I (Ca  Ocasional)
215,2013/01/18 16:00:00,SUIZA I (Ca  Ocasional)
216,2013/01/18 17:00:00,MARGARITA FLORESTA
217,2013/01/18 18:00:00,ZANJON HONDO
218,2013/01/18 19:00:00,ZANJON HONDO
219,2013/01/18 20:00:00,ZANJON HONDO
220,2013/01/18 21:00:00,ZANJON HONDO
221,2013/01/18 22:00:00,BALLESTEROS
222,2013/01/19 10:00:00,SAN ANT MADR
223,2013/01/19 11:00:00,LA CECILIA
224,2013/01/19 12:00:00,VERAGUAS I
225,2013/01/19 13:00:00,ZANJON RICO MANUEL
226,2013/01/19 14:00:00,VENECIA CABAL
227,2013/01/19 15:00:00,VERAGUAS I
228,2013/01/19 16:00:00,SUIZA I (Ca  Ocasional)
229,2013/01/19 17:00:00,SUIZA I (Ca  Ocasional)
230,2013/01/19 18:00:00,TIERRA GRATA
231,2013/01/19 19:00:00,TIERRA GRATA
232,2013/01/19 20:00:00,RHIN
