,date,NI
0,2013/01/01 12:00:00,12
1,2013/01/01 13:00:00,12
2,2013/01/01 16:00:00,12
3,2013/01/01 17:00:00,7
4,2013/01/01 18:00:00,7
5,2013/01/01 20:00:00,7
6,2013/01/01 21:00:00,7
7,2013/01/02 10:00:00,2
8,2013/01/02 11:00:00,12
9,2013/01/02 12:00:00,12
10,2013/01/02 13:00:00,11
11,2013/01/02 14:00:00,12
12,2013/01/02 15:00:00,12
13,2013/01/02 16:00:00,11
14,2013/01/02 17:00:00,11
15,2013/01/02 18:00:00,7
16,2013/01/02 19:00:00,5
17,2013/01/02 20:00:00,7
18,2013/01/02 21:00:00,7
19,2013/01/02 22:00:00,7
20,2013/01/03 12:00:00,12
21,2013/01/03 13:00:00,12
22,2013/01/03 14:00:00,12
23,2013/01/03 15:00:00,12
24,2013/01/03 16:00:00,10
25,2013/01/03 17:00:00,9
26,2013/01/03 18:00:00,11
27,2013/01/03 19:00:00,11
28,2013/01/03 20:00:00,11
29,2013/01/03 21:00:00,11
30,2013/01/03 22:00:00,11
31,2013/01/03 23:00:00,11
32,2013/01/04 11:00:00,8
33,2013/01/04 12:00:00,2
34,2013/01/04 14:00:00,10
35,2013/01/04 15:00:00,10
36,2013/01/04 16:00:00,10
37,2013/01/04 17:00:00,12
38,2013/01/04 18:00:00,10
39,2013/01/04 19:00:00,7
40,2013/01/04 20:00:00,7
41,2013/01/04 21:00:00,7
42,2013/01/04 22:00:00,7
43,2013/01/05 09:00:00,8
44,2013/01/05 10:00:00,8
45,2013/01/05 11:00:00,8
46,2013/01/05 12:00:00,8
47,2013/01/05 14:00:00,8
48,2013/01/05 16:00:00,9
49,2013/01/05 17:00:00,9
50,2013/01/05 18:00:00,9
51,2013/01/05 20:00:00,5
52,2013/01/06 12:00:00,8
53,2013/01/06 13:00:00,8
54,2013/01/06 14:00:00,1
55,2013/01/06 15:00:00,1
56,2013/01/06 16:00:00,9
57,2013/01/06 17:00:00,9
58,2013/01/06 18:00:00,9
59,2013/01/06 19:00:00,7
60,2013/01/06 20:00:00,7
61,2013/01/06 21:00:00,7
62,2013/01/06 22:00:00,7
63,2013/01/07 08:00:00,2
64,2013/01/07 09:00:00,2
65,2013/01/07 10:00:00,8
66,2013/01/07 12:00:00,11
67,2013/01/07 13:00:00,9
68,2013/01/07 14:00:00,9
69,2013/01/07 15:00:00,11
70,2013/01/07 16:00:00,12
71,2013/01/07 17:00:00,12
72,2013/01/07 18:00:00,11
73,2013/01/07 19:00:00,7
74,2013/01/07 20:00:00,12
75,2013/01/07 21:00:00,12
76,2013/01/07 22:00:00,5
77,2013/01/08 14:00:00,11
78,2013/01/08 15:00:00,11
79,2013/01/08 16:00:00,12
80,2013/01/08 17:00:00,11
81,2013/01/08 18:00:00,12
82,2013/01/08 19:00:00,12
83,2013/01/08 20:00:00,12
84,2013/01/08 21:00:00,7
85,2013/01/08 22:00:00,7
86,2013/01/08 23:00:00,1
87,2013/01/09 00:00:00,5
88,2013/01/09 08:00:00,2
89,2013/01/09 09:00:00,9
90,2013/01/09 10:00:00,12
