,date,NM
0,2013/01/01 12:00:00,38
1,2013/01/01 13:00:00,38
2,2013/01/01 16:00:00,44
3,2013/01/01 17:00:00,29
4,2013/01/01 18:00:00,29
5,2013/01/01 20:00:00,13
6,2013/01/01 21:00:00,13
7,2013/01/02 10:00:00,44
8,2013/01/02 11:00:00,44
9,2013/01/02 12:00:00,44
10,2013/01/02 13:00:00,48
11,2013/01/02 14:00:00,51
12,2013/01/02 15:00:00,51
13,2013/01/02 16:00:00,48
14,2013/01/02 17:00:00,48
15,2013/01/02 18:00:00,39
16,2013/01/02 19:00:00,39
17,2013/01/02 20:00:00,46
18,2013/01/02 21:00:00,31
19,2013/01/02 22:00:00,29
20,2013/01/03 12:00:00,44
21,2013/01/03 13:00:00,44
22,2013/01/03 14:00:00,44
23,2013/01/03 15:00:00,44
24,2013/01/03 16:00:00,16
25,2013/01/03 17:00:00,21
26,2013/01/03 18:00:00,21
27,2013/01/03 19:00:00,29
28,2013/01/03 20:00:00,29
29,2013/01/03 21:00:00,2
30,2013/01/03 22:00:00,2
31,2013/01/03 23:00:00,2
32,2013/01/04 11:00:00,19
33,2013/01/04 12:00:00,34
34,2013/01/04 14:00:00,51
35,2013/01/04 15:00:00,51
36,2013/01/04 16:00:00,36
37,2013/01/04 17:00:00,44
38,2013/01/04 18:00:00,29
39,2013/01/04 19:00:00,13
40,2013/01/04 20:00:00,17
41,2013/01/04 21:00:00,29
42,2013/01/04 22:00:00,13
43,2013/01/05 09:00:00,16
44,2013/01/05 10:00:00,44
45,2013/01/05 11:00:00,16
46,2013/01/05 12:00:00,16
47,2013/01/05 14:00:00,16
48,2013/01/05 16:00:00,29
49,2013/01/05 17:00:00,29
50,2013/01/05 18:00:00,44
51,2013/01/05 20:00:00,29
52,2013/01/06 12:00:00,16
53,2013/01/06 13:00:00,28
54,2013/01/06 14:00:00,28
55,2013/01/06 15:00:00,28
56,2013/01/06 16:00:00,20
57,2013/01/06 17:00:00,17
58,2013/01/06 18:00:00,29
59,2013/01/06 19:00:00,13
60,2013/01/06 20:00:00,29
61,2013/01/06 21:00:00,29
62,2013/01/06 22:00:00,18
63,2013/01/07 08:00:00,49
64,2013/01/07 09:00:00,49
65,2013/01/07 10:00:00,44
66,2013/01/07 12:00:00,48
67,2013/01/07 13:00:00,29
68,2013/01/07 14:00:00,29
69,2013/01/07 15:00:00,21
70,2013/01/07 16:00:00,48
71,2013/01/07 17:00:00,48
72,2013/01/07 18:00:00,48
73,2013/01/07 19:00:00,39
74,2013/01/07 20:00:00,44
75,2013/01/07 21:00:00,44
76,2013/01/07 22:00:00,39
77,2013/01/08 14:00:00,42
78,2013/01/08 15:00:00,42
79,2013/01/08 16:00:00,38
80,2013/01/08 17:00:00,51
81,2013/01/08 18:00:00,48
82,2013/01/08 19:00:00,44
83,2013/01/08 20:00:00,44
84,2013/01/08 21:00:00,44
85,2013/01/08 22:00:00,28
86,2013/01/08 23:00:00,12
87,2013/01/09 00:00:00,29
88,2013/01/09 08:00:00,8
89,2013/01/09 09:00:00,49
90,2013/01/09 10:00:00,38
91,2013/01/09 11:00:00,49
92,2013/01/09 12:00:00,49
93,2013/01/09 13:00:00,49
94,2013/01/09 14:00:00,38
95,2013/01/09 15:00:00,49
96,2013/01/09 16:00:00,29
97,2013/01/09 17:00:00,29
98,2013/01/09 18:00:00,51
99,2013/01/09 19:00:00,51
100,2013/01/09 20:00:00,51
101,2013/01/09 21:00:00,31
102,2013/01/09 22:00:00,19
103,2013/01/09 23:00:00,15
104,2013/01/10 00:00:00,29
105,2013/01/10 10:00:00,44
106,2013/01/10 11:00:00,49
107,2013/01/10 12:00:00,8
108,2013/01/10 13:00:00,8
109,2013/01/10 14:00:00,44
110,2013/01/10 15:00:00,48
111,2013/01/10 16:00:00,48
112,2013/01/10 17:00:00,51
113,2013/01/10 18:00:00,51
114,2013/01/10 19:00:00,49
115,2013/01/10 20:00:00,31
116,2013/01/10 21:00:00,31
117,2013/01/10 22:00:00,13
118,2013/01/11 10:00:00,49
119,2013/01/11 12:00:00,49
120,2013/01/11 13:00:00,49
121,2013/01/11 14:00:00,51
122,2013/01/11 15:00:00,46
123,2013/01/11 16:00:00,46
124,2013/01/11 17:00:00,40
125,2013/01/11 18:00:00,40
126,2013/01/11 19:00:00,40
127,2013/01/11 20:00:00,44
128,2013/01/11 21:00:00,44
129,2013/01/11 22:00:00,17
130,2013/01/11 23:00:00,31
131,2013/01/12 11:00:00,19
132,2013/01/12 12:00:00,34
133,2013/01/12 13:00:00,35
134,2013/01/12 14:00:00,35
135,2013/01/12 15:00:00,38
136,2013/01/12 16:00:00,38
137,2013/01/12 17:00:00,38
138,2013/01/12 18:00:00,31
139,2013/01/12 19:00:00,31
140,2013/01/12 20:00:00,31
141,2013/01/12 22:00:00,15
142,2013/01/13 01:00:00,29
143,2013/01/13 11:00:00,48
144,2013/01/13 12:00:00,48
145,2013/01/13 13:00:00,42
146,2013/01/13 14:00:00,48
147,2013/01/13 15:00:00,48
148,2013/01/13 16:00:00,39
149,2013/01/13 17:00:00,39
150,2013/01/13 18:00:00,39
151,2013/01/13 19:00:00,31
152,2013/01/13 20:00:00,31
153,2013/01/13 21:00:00,31
154,2013/01/13 22:00:00,13
155,2013/01/13 23:00:00,20
156,2013/01/14 09:00:00,19
157,2013/01/14 10:00:00,19
158,2013/01/14 11:00:00,28
159,2013/01/14 12:00:00,48
160,2013/01/14 13:00:00,48
161,2013/01/14 14:00:00,44
162,2013/01/14 15:00:00,44
163,2013/01/14 16:00:00,15
164,2013/01/14 17:00:00,51
165,2013/01/14 18:00:00,51
166,2013/01/14 19:00:00,16
167,2013/01/14 20:00:00,32
168,2013/01/14 21:00:00,39
169,2013/01/14 22:00:00,12
170,2013/01/14 23:00:00,13
171,2013/01/15 10:00:00,48
172,2013/01/15 11:00:00,48
173,2013/01/15 12:00:00,48
174,2013/01/15 13:00:00,44
175,2013/01/15 14:00:00,44
176,2013/01/15 15:00:00,51
177,2013/01/15 16:00:00,51
178,2013/01/15 17:00:00,51
179,2013/01/15 18:00:00,51
180,2013/01/15 19:00:00,51
181,2013/01/15 20:00:00,51
182,2013/01/15 21:00:00,31
183,2013/01/16 10:00:00,34
184,2013/01/16 11:00:00,38
