,date,dir_final
0,2013/01/01 12:00:00,SSE
1,2013/01/01 13:00:00,E
2,2013/01/01 16:00:00,NE
3,2013/01/01 17:00:00,WNW
4,2013/01/01 18:00:00,N
5,2013/01/01 20:00:00,SE
6,2013/01/01 21:00:00,NW
7,2013/01/02 10:00:00,NE
8,2013/01/02 11:00:00,SE
9,2013/01/02 12:00:00,SE
10,2013/01/02 13:00:00,WSW
11,2013/01/02 14:00:00,SW
12,2013/01/02 15:00:00,SW
13,2013/01/02 16:00:00,WSW
14,2013/01/02 17:00:00,WSW
15,2013/01/02 18:00:00,W
16,2013/01/02 19:00:00,SSW
17,2013/01/02 20:00:00,SE
18,2013/01/02 21:00:00,WNW
19,2013/01/02 22:00:00,NE
20,2013/01/03 12:00:00,SSW
21,2013/01/03 13:00:00,WSW
22,2013/01/03 14:00:00,W
23,2013/01/03 15:00:00,W
24,2013/01/03 16:00:00,SW
25,2013/01/03 17:00:00,SE
26,2013/01/03 18:00:00,SSW
27,2013/01/03 19:00:00,SSE
28,2013/01/03 20:00:00,SSE
29,2013/01/03 21:00:00,SE
30,2013/01/03 22:00:00,SSE
31,2013/01/03 23:00:00,SE
32,2013/01/04 11:00:00,W
33,2013/01/04 12:00:00,N
34,2013/01/04 14:00:00,SSE
35,2013/01/04 15:00:00,SSE
36,2013/01/04 16:00:00,SSE
37,2013/01/04 17:00:00,WSW
38,2013/01/04 18:00:00,SW
39,2013/01/04 19:00:00,NE
40,2013/01/04 20:00:00,SE
41,2013/01/04 21:00:00,WNW
42,2013/01/04 22:00:00,NE
43,2013/01/05 09:00:00,N
44,2013/01/05 10:00:00,WSW
45,2013/01/05 11:00:00,NW
46,2013/01/05 12:00:00,N
47,2013/01/05 14:00:00,N
48,2013/01/05 16:00:00,W
49,2013/01/05 17:00:00,WNW
50,2013/01/05 18:00:00,NNE
51,2013/01/05 20:00:00,NNE
52,2013/01/06 12:00:00,SE
53,2013/01/06 13:00:00,NW
54,2013/01/06 14:00:00,NNE
55,2013/01/06 15:00:00,WNW
56,2013/01/06 16:00:00,SW
57,2013/01/06 17:00:00,SSE
58,2013/01/06 18:00:00,NNE
59,2013/01/06 19:00:00,SW
60,2013/01/06 20:00:00,SW
61,2013/01/06 21:00:00,NE
62,2013/01/06 22:00:00,NW
63,2013/01/07 08:00:00,NNE
64,2013/01/07 09:00:00,NE
65,2013/01/07 10:00:00,NE
66,2013/01/07 12:00:00,SSE
67,2013/01/07 13:00:00,W
68,2013/01/07 14:00:00,W
69,2013/01/07 15:00:00,SE
70,2013/01/07 16:00:00,SSE
71,2013/01/07 17:00:00,SE
72,2013/01/07 18:00:00,WNW
73,2013/01/07 19:00:00,W
74,2013/01/07 20:00:00,SSE
75,2013/01/07 21:00:00,SE
76,2013/01/07 22:00:00,SE
77,2013/01/08 14:00:00,W
78,2013/01/08 15:00:00,SW
79,2013/01/08 16:00:00,W
80,2013/01/08 17:00:00,NNW
81,2013/01/08 18:00:00,WNW
82,2013/01/08 19:00:00,WNW
83,2013/01/08 20:00:00,WNW
84,2013/01/08 21:00:00,WNW
85,2013/01/08 22:00:00,NE
86,2013/01/08 23:00:00,NE
87,2013/01/09 00:00:00,NNE
88,2013/01/09 08:00:00,NE
89,2013/01/09 09:00:00,NNW
90,2013/01/09 10:00:00,SSE
91,2013/01/09 11:00:00,SSE
92,2013/01/09 12:00:00,SSE
93,2013/01/09 13:00:00,WNW
94,2013/01/09 14:00:00,WSW
95,2013/01/09 15:00:00,W
96,2013/01/09 16:00:00,W
97,2013/01/09 17:00:00,W
98,2013/01/09 18:00:00,WNW
99,2013/01/09 19:00:00,SE
100,2013/01/09 20:00:00,NNW
101,2013/01/09 21:00:00,NE
102,2013/01/09 22:00:00,NW
