,date,dir_inicial
0,2013/01/01 12:00:00,SE
1,2013/01/01 13:00:00,ESE
2,2013/01/01 16:00:00,ESE
3,2013/01/01 17:00:00,WNW
4,2013/01/01 18:00:00,NNW
5,2013/01/01 20:00:00,SE
6,2013/01/01 21:00:00,S
7,2013/01/02 10:00:00,ESE
8,2013/01/02 11:00:00,NE
9,2013/01/02 12:00:00,SE
10,2013/01/02 13:00:00,SW
11,2013/01/02 14:00:00,WNW
12,2013/01/02 15:00:00,WNW
13,2013/01/02 16:00:00,WSW
14,2013/01/02 17:00:00,WNW
15,2013/01/02 18:00:00,WSW
16,2013/01/02 19:00:00,WSW
17,2013/01/02 20:00:00,SSW
18,2013/01/02 21:00:00,SE
19,2013/01/02 22:00:00,NNW
20,2013/01/03 12:00:00,SE
21,2013/01/03 13:00:00,WSW
22,2013/01/03 14:00:00,W
23,2013/01/03 15:00:00,W
24,2013/01/03 16:00:00,SW
25,2013/01/03 17:00:00,SE
26,2013/01/03 18:00:00,WSW
27,2013/01/03 19:00:00,SE
28,2013/01/03 20:00:00,SSE
29,2013/01/03 21:00:00,ESE
30,2013/01/03 22:00:00,SE
31,2013/01/03 23:00:00,SE
32,2013/01/04 11:00:00,W
33,2013/01/04 12:00:00,NE
34,2013/01/04 14:00:00,SW
35,2013/01/04 15:00:00,SW
36,2013/01/04 16:00:00,SW
37,2013/01/04 17:00:00,WNW
38,2013/01/04 18:00:00,SW
39,2013/01/04 19:00:00,SE
40,2013/01/04 20:00:00,SE
41,2013/01/04 21:00:00,W
42,2013/01/04 22:00:00,N
43,2013/01/05 09:00:00,N
44,2013/01/05 10:00:00,WSW
45,2013/01/05 11:00:00,NW
46,2013/01/05 12:00:00,N
47,2013/01/05 14:00:00,N
48,2013/01/05 16:00:00,WNW
49,2013/01/05 17:00:00,W
50,2013/01/05 18:00:00,ESE
51,2013/01/05 20:00:00,NNE
52,2013/01/06 12:00:00,SE
53,2013/01/06 13:00:00,NW
54,2013/01/06 14:00:00,NNE
55,2013/01/06 15:00:00,NNW
56,2013/01/06 16:00:00,SW
57,2013/01/06 17:00:00,WNW
58,2013/01/06 18:00:00,WNW
59,2013/01/06 19:00:00,N
60,2013/01/06 20:00:00,NNE
61,2013/01/06 21:00:00,WNW
62,2013/01/06 22:00:00,NW
63,2013/01/07 08:00:00,NNE
64,2013/01/07 09:00:00,NW
65,2013/01/07 10:00:00,NE
66,2013/01/07 12:00:00,SSE
67,2013/01/07 13:00:00,SW
68,2013/01/07 14:00:00,NW
69,2013/01/07 15:00:00,NNW
70,2013/01/07 16:00:00,WNW
71,2013/01/07 17:00:00,WNW
72,2013/01/07 18:00:00,NW
73,2013/01/07 19:00:00,WNW
74,2013/01/07 20:00:00,SE
75,2013/01/07 21:00:00,N
76,2013/01/07 22:00:00,SSE
77,2013/01/08 14:00:00,WSW
78,2013/01/08 15:00:00,WSW
79,2013/01/08 16:00:00,WSW
80,2013/01/08 17:00:00,WSW
81,2013/01/08 18:00:00,WNW
82,2013/01/08 19:00:00,WNW
83,2013/01/08 20:00:00,WNW
84,2013/01/08 21:00:00,SSW
85,2013/01/08 22:00:00,NNE
86,2013/01/08 23:00:00,NE
87,2013/01/09 00:00:00,NE
88,2013/01/09 08:00:00,NE
89,2013/01/09 09:00:00,SE
90,2013/01/09 10:00:00,ENE
91,2013/01/09 11:00:00,SSE
92,2013/01/09 12:00:00,SE
93,2013/01/09 13:00:00,NW
94,2013/01/09 14:00:00,WNW
95,2013/01/09 15:00:00,W
96,2013/01/09 16:00:00,WNW
97,2013/01/09 17:00:00,WNW
98,2013/01/09 18:00:00,WNW
99,2013/01/09 19:00:00,WSW
100,2013/01/09 20:00:00,W
101,2013/01/09 21:00:00,N
102,2013/01/09 22:00:00,NW
103,2013/01/09 23:00:00,ENE
104,2013/01/10 00:00:00,NNW
