,fecha_dato,CC
0,2013/01/01 12:00:00,QC
1,2013/01/01 13:00:00,QC
2,2013/01/01 16:00:00,QC
3,2013/01/01 17:00:00,QC
4,2013/01/01 18:00:00,QC
5,2013/01/01 20:00:00,QC
6,2013/01/01 21:00:00,QC
7,2013/01/01 22:00:00,QC
8,2013/01/02 13:00:00,QC
9,2013/01/02 14:00:00,QC
10,2013/01/02 15:00:00,QC
11,2013/01/02 16:00:00,QC
12,2013/01/02 17:00:00,QC
13,2013/01/02 18:00:00,QC
14,2013/01/02 19:00:00,QC
15,2013/01/02 20:00:00,QC
16,2013/01/02 21:00:00,QC
17,2013/01/02 22:00:00,QC
18,2013/01/03 14:00:00,QC
19,2013/01/03 15:00:00,QC
20,2013/01/03 16:00:00,QC
21,2013/01/03 17:00:00,QC
22,2013/01/03 18:00:00,QC
23,2013/01/03 19:00:00,QC
24,2013/01/03 20:00:00,QC
25,2013/01/03 22:00:00,QC
26,2013/01/03 23:00:00,QC
27,2013/01/04 11:00:00,QC
28,2013/01/04 12:00:00,QC
29,2013/01/04 13:00:00,QC
30,2013/01/04 14:00:00,QC
31,2013/01/04 15:00:00,QC
32,2013/01/04 16:00:00,QC
33,2013/01/04 17:00:00,QC
34,2013/01/04 18:00:00,QC
35,2013/01/04 19:00:00,QC
36,2013/01/04 20:00:00,QC
37,2013/01/04 21:00:00,QC
38,2013/01/04 22:00:00,QC
39,2013/01/04 23:00:00,QC
40,2013/01/05 11:00:00,QC
41,2013/01/05 13:00:00,QC
42,2013/01/05 14:00:00,QC
43,2013/01/05 16:00:00,QC
44,2013/01/05 17:00:00,QC
45,2013/01/05 18:00:00,QC
46,2013/01/05 19:00:00,QC
47,2013/01/05 20:00:00,QC
48,2013/01/05 23:00:00,QC
49,2013/01/06 11:00:00,QC
50,2013/01/06 12:00:00,QC
51,2013/01/06 13:00:00,QC
52,2013/01/06 14:00:00,QC
53,2013/01/06 15:00:00,QC
54,2013/01/06 16:00:00,QC
55,2013/01/06 17:00:00,QC
56,2013/01/06 18:00:00,QC
57,2013/01/06 19:00:00,QC
58,2013/01/06 20:00:00,QC
59,2013/01/06 21:00:00,QC
60,2013/01/06 22:00:00,QC
61,2013/01/06 23:00:00,QC
62,2013/01/07 00:00:00,QC
63,2013/01/07 01:00:00,QC
64,2013/01/07 11:00:00,QC
65,2013/01/07 12:00:00,QC
66,2013/01/07 13:00:00,QC
67,2013/01/07 14:00:00,QC
68,2013/01/07 15:00:00,QC
69,2013/01/07 16:00:00,QC
70,2013/01/07 17:00:00,QC
71,2013/01/07 18:00:00,QC
72,2013/01/07 19:00:00,QC
73,2013/01/07 20:00:00,QC
74,2013/01/07 21:00:00,QC
75,2013/01/07 22:00:00,QC
76,2013/01/07 23:00:00,QC
77,2013/01/08 01:00:00,QC
78,2013/01/08 15:00:00,QC
79,2013/01/08 16:00:00,QC
80,2013/01/08 17:00:00,QC
81,2013/01/08 18:00:00,QC
82,2013/01/08 19:00:00,QC
83,2013/01/08 20:00:00,QC
84,2013/01/08 21:00:00,QC
85,2013/01/08 22:00:00,QC
86,2013/01/08 23:00:00,QC
87,2013/01/09 00:00:00,QC
88,2013/01/09 14:00:00,QC
89,2013/01/09 15:00:00,QC
90,2013/01/09 16:00:00,QC
91,2013/01/09 17:00:00,QC
92,2013/01/09 18:00:00,QC
93,2013/01/09 19:00:00,QC
94,2013/01/09 20:00:00,QC
95,2013/01/09 21:00:00,QC
96,2013/01/09 22:00:00,QC
97,2013/01/09 23:00:00,QC
98,2013/01/10 00:00:00,QC
99,2013/01/10 13:00:00,QC
100,2013/01/10 14:00:00,QC
101,2013/01/10 15:00:00,QC
102,2013/01/10 16:00:00,QC
103,2013/01/10 17:00:00,QC
104,2013/01/10 18:00:00,QC
105,2013/01/10 19:00:00,QC
106,2013/01/10 20:00:00,QC
107,2013/01/10 21:00:00,QC
108,2013/01/10 22:00:00,QC
109,2013/01/10 23:00:00,QC
110,2013/01/11 13:00:00,QC
111,2013/01/11 14:00:00,QC
112,2013/01/11 15:00:00,QC
113,2013/01/11 16:00:00,QC
114,2013/01/11 17:00:00,QC
115,2013/01/11 18:00:00,QC
116,2013/01/11 19:00:00,QC
117,2013/01/11 20:00:00,QC
118,2013/01/11 21:00:00,QC
119,2013/01/11 22:00:00,QC
120,2013/01/11 23:00:00,QC
121,2013/01/12 12:00:00,QC
122,2013/01/12 13:00:00,QC
123,2013/01/12 14:00:00,QC
124,2013/01/12 15:00:00,QC
125,2013/01/12 16:00:00,QC
126,2013/01/12 17:00:00,QC
127,2013/01/12 18:00:00,QC
128,2013/01/12 19:00:00,QC
129,2013/01/12 20:00:00,QC
130,2013/01/12 22:00:00,QC
131,2013/01/12 23:00:00,QC
132,2013/01/13 01:00:00,QC
133,2013/01/13 13:00:00,QC
134,2013/01/13 14:00:00,QC
135,2013/01/13 15:00:00,QC
136,2013/01/13 17:00:00,QC
137,2013/01/13 18:00:00,QC
138,2013/01/13 19:00:00,QC
139,2013/01/13 20:00:00,QC
140,2013/01/13 21:00:00,QC
141,2013/01/13 22:00:00,QC
142,2013/01/13 23:00:00,QC
143,2013/01/14 00:00:00,QC
144,2013/01/14 09:00:00,QC
145,2013/01/14 10:00:00,QC
146,2013/01/14 11:00:00,QC
147,2013/01/14 13:00:00,QC
148,2013/01/14 14:00:00,QC
149,2013/01/14 15:00:00,QC
150,2013/01/14 16:00:00,QC
151,2013/01/14 17:00:00,QC
152,2013/01/14 18:00:00,QC
153,2013/01/14 19:00:00,QC
154,2013/01/14 20:00:00,QC
155,2013/01/14 21:00:00,QC
156,2013/01/15 11:00:00,QC
157,2013/01/15 12:00:00,QC
158,2013/01/15 13:00:00,QC
159,2013/01/15 14:00:00,QC
160,2013/01/15 15:00:00,QC
161,2013/01/15 16:00:00,QC
162,2013/01/15 17:00:00,QC
163,2013/01/15 18:00:00,QC
164,2013/01/15 19:00:00,QC
165,2013/01/15 20:00:00,QC
166,2013/01/15 21:00:00,QC
167,2013/01/15 22:00:00,QC
168,2013/01/16 11:00:00,QC
169,2013/01/16 12:00:00,QC
170,2013/01/16 13:00:00,QC
171,2013/01/16 14:00:00,QC
172,2013/01/16 15:00:00,QC
173,2013/01/16 16:00:00,QC
174,2013/01/16 18:00:00,QC
175,2013/01/16 19:00:00,QC
176,2013/01/16 20:00:00,QC
177,2013/01/16 21:00:00,QC
178,2013/01/16 22:00:00,QC
179,2013/01/16 23:00:00,QC
180,2013/01/17 11:00:00,QC
181,2013/01/17 13:00:00,QC
182,2013/01/17 16:00:00,QC
183,2013/01/17 17:00:00,QC
184,2013/01/17 18:00:00,QC
185,2013/01/17 19:00:00,QC
186,2013/01/17 20:00:00,QC
187,2013/01/17 21:00:00,QC
188,2013/01/17 22:00:00,QC
189,2013/01/18 10:00:00,QC
190,2013/01/18 12:00:00,QC
191,2013/01/18 13:00:00,QC
192,2013/01/18 14:00:00,QC
193,2013/01/18 15:00:00,QC
194,2013/01/18 16:00:00,QC
195,2013/01/18 17:00:00,QC
196,2013/01/18 18:00:00,QC
197,2013/01/18 19:00:00,QC
198,2013/01/18 20:00:00,QC
199,2013/01/18 21:00:00,QC
200,2013/01/18 22:00:00,QC
201,2013/01/19 00:00:00,QC
202,2013/01/19 11:00:00,QC
203,2013/01/19 16:00:00,QC
204,2013/01/19 17:00:00,QC
205,2013/01/19 18:00:00,QC
206,2013/01/19 19:00:00,QC
207,2013/01/19 20:00:00,QC
208,2013/01/19 21:00:00,QC
209,2013/01/19 22:00:00,QC
210,2013/01/19 23:00:00,QC
211,2013/01/20 00:00:00,QC
212,2013/01/20 11:00:00,QC
213,2013/01/20 12:00:00,QC
214,2013/01/20 13:00:00,QC
215,2013/01/20 14:00:00,QC
216,2013/01/20 15:00:00,QC
217,2013/01/20 16:00:00,QC
218,2013/01/20 17:00:00,QC
219,2013/01/20 18:00:00,QC
220,2013/01/20 19:00:00,QC
221,2013/01/20 20:00:00,QC
222,2013/01/20 21:00:00,QC
223,2013/01/20 22:00:00,QC
224,2013/01/20 23:00:00,QC
225,2013/01/21 12:00:00,QC
226,2013/01/21 13:00:00,QC
227,2013/01/21 15:00:00,QC
228,2013/01/21 16:00:00,QC
229,2013/01/21 17:00:00,QC
230,2013/01/21 18:00:00,QC
231,2013/01/21 19:00:00,QC
232,2013/01/21 20:00:00,QC
233,2013/01/21 21:00:00,QC
234,2013/01/21 22:00:00,QC
235,2013/01/21 23:00:00,QC
236,2013/01/22 11:00:00,QC
237,2013/01/22 12:00:00,QC
238,2013/01/22 14:00:00,QC
239,2013/01/22 15:00:00,QC
240,2013/01/22 16:00:00,QC
241,2013/01/22 17:00:00,QC
242,2013/01/22 18:00:00,QC
243,2013/01/22 19:00:00,QC
244,2013/01/22 20:00:00,QC
245,2013/01/22 21:00:00,QC
246,2013/01/22 22:00:00,QC
247,2013/01/22 23:00:00,QC
248,2013/01/23 09:00:00,QC
249,2013/01/23 10:00:00,QC
250,2013/01/23 11:00:00,QC
251,2013/01/23 12:00:00,QC
252,2013/01/23 13:00:00,QC
253,2013/01/23 14:00:00,QC
254,2013/01/23 15:00:00,QC
255,2013/01/23 16:00:00,QC
256,2013/01/23 17:00:00,QC
257,2013/01/23 18:00:00,QC
258,2013/01/23 19:00:00,QC
259,2013/01/23 20:00:00,QC
260,2013/01/23 21:00:00,QC
261,2013/01/23 22:00:00,QC
262,2013/01/23 23:00:00,QC
263,2013/01/24 10:00:00,QC
264,2013/01/24 11:00:00,QC
265,2013/01/24 13:00:00,QC
266,2013/01/24 14:00:00,QC
267,2013/01/24 15:00:00,QC
268,2013/01/24 16:00:00,QC
269,2013/01/24 17:00:00,QC
270,2013/01/24 18:00:00,QC
271,2013/01/24 19:00:00,QC
272,2013/01/24 20:00:00,QC
273,2013/01/24 21:00:00,QC
274,2013/01/24 22:00:00,QC
275,2013/01/24 23:00:00,QC
276,2013/01/25 11:00:00,QC
277,2013/01/25 12:00:00,QC
278,2013/01/25 13:00:00,QC
279,2013/01/25 14:00:00,QC
280,2013/01/25 15:00:00,QC
281,2013/01/25 16:00:00,QC
282,2013/01/25 17:00:00,QC
283,2013/01/25 18:00:00,QC
284,2013/01/25 19:00:00,QC
285,2013/01/25 20:00:00,QC
286,2013/01/25 21:00:00,QC
287,2013/01/25 22:00:00,QC
288,2013/01/26 11:00:00,QC
289,2013/01/26 12:00:00,QC
290,2013/01/26 13:00:00,QC
291,2013/01/26 15:00:00,QC
292,2013/01/26 16:00:00,QC
293,2013/01/26 17:00:00,QC
294,2013/01/26 18:00:00,QC
295,2013/01/26 19:00:00,QC
296,2013/01/26 20:00:00,QC
297,2013/01/26 21:00:00,QC
298,2013/01/27 09:00:00,QC
299,2013/01/27 10:00:00,QC
300,2013/01/27 11:00:00,QC
301,2013/01/27 12:00:00,QC
302,2013/01/27 14:00:00,QC
303,2013/01/27 15:00:00,QC
304,2013/01/27 16:00:00,QC
305,2013/01/27 17:00:00,QC
306,2013/01/27 18:00:00,QC
307,2013/01/27 19:00:00,QC
308,2013/01/27 20:00:00,QC
309,2013/01/27 21:00:00,QC
310,2013/01/27 22:00:00,QC
311,2013/01/27 23:00:00,QC
312,2013/01/28 09:00:00,QC
313,2013/01/28 10:00:00,QC
314,2013/01/28 11:00:00,QC
315,2013/01/28 12:00:00,QC
316,2013/01/28 13:00:00,QC
317,2013/01/28 14:00:00,QC
318,2013/01/28 15:00:00,QC
319,2013/01/28 16:00:00,QC
320,2013/01/28 17:00:00,QC
321,2013/01/28 18:00:00,QC
322,2013/01/28 19:00:00,QC
323,2013/01/28 20:00:00,QC
324,2013/01/28 21:00:00,QC
325,2013/01/28 22:00:00,QC
326,2013/01/28 23:00:00,QC
327,2013/01/29 09:00:00,QC
