,fecha_dato,NM
0,2013/01/01 12:00:00,21
1,2013/01/01 13:00:00,21
2,2013/01/01 16:00:00,23
3,2013/01/01 17:00:00,17
4,2013/01/01 18:00:00,17
5,2013/01/01 20:00:00,7
6,2013/01/01 21:00:00,7
7,2013/01/01 22:00:00,7
8,2013/01/02 13:00:00,23
9,2013/01/02 14:00:00,21
10,2013/01/02 15:00:00,21
11,2013/01/02 16:00:00,21
12,2013/01/02 17:00:00,21
13,2013/01/02 18:00:00,15
14,2013/01/02 19:00:00,12
15,2013/01/02 20:00:00,7
16,2013/01/02 21:00:00,17
17,2013/01/02 22:00:00,17
18,2013/01/03 14:00:00,12
19,2013/01/03 15:00:00,12
20,2013/01/03 16:00:00,12
21,2013/01/03 17:00:00,23
22,2013/01/03 18:00:00,23
23,2013/01/03 19:00:00,7
24,2013/01/03 20:00:00,17
25,2013/01/03 22:00:00,17
26,2013/01/03 23:00:00,17
27,2013/01/04 11:00:00,23
28,2013/01/04 12:00:00,12
29,2013/01/04 13:00:00,12
30,2013/01/04 14:00:00,23
31,2013/01/04 15:00:00,23
32,2013/01/04 16:00:00,21
33,2013/01/04 17:00:00,21
34,2013/01/04 18:00:00,14
35,2013/01/04 19:00:00,17
36,2013/01/04 20:00:00,7
37,2013/01/04 21:00:00,17
38,2013/01/04 22:00:00,17
39,2013/01/04 23:00:00,17
40,2013/01/05 11:00:00,23
41,2013/01/05 13:00:00,21
42,2013/01/05 14:00:00,22
43,2013/01/05 16:00:00,13
44,2013/01/05 17:00:00,13
45,2013/01/05 18:00:00,7
46,2013/01/05 19:00:00,7
47,2013/01/05 20:00:00,17
48,2013/01/05 23:00:00,7
49,2013/01/06 11:00:00,23
50,2013/01/06 12:00:00,23
51,2013/01/06 13:00:00,12
52,2013/01/06 14:00:00,21
53,2013/01/06 15:00:00,21
54,2013/01/06 16:00:00,13
55,2013/01/06 17:00:00,17
56,2013/01/06 18:00:00,22
57,2013/01/06 19:00:00,22
58,2013/01/06 20:00:00,2
59,2013/01/06 21:00:00,7
60,2013/01/06 22:00:00,7
61,2013/01/06 23:00:00,7
62,2013/01/07 00:00:00,13
63,2013/01/07 01:00:00,18
64,2013/01/07 11:00:00,4
65,2013/01/07 12:00:00,4
66,2013/01/07 13:00:00,4
67,2013/01/07 14:00:00,14
68,2013/01/07 15:00:00,11
69,2013/01/07 16:00:00,9
70,2013/01/07 17:00:00,14
71,2013/01/07 18:00:00,17
72,2013/01/07 19:00:00,17
73,2013/01/07 20:00:00,7
74,2013/01/07 21:00:00,7
75,2013/01/07 22:00:00,5
76,2013/01/07 23:00:00,13
77,2013/01/08 01:00:00,18
78,2013/01/08 15:00:00,13
